	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
BC107108	241	326	176	192
BCAM	43	60	48	33
BCAP29	741	1164	497	521
BCAP31	3962	5203	2539	2582
BCAR1	447	771	389	306
BCAR3	112	210	95	67
BCAS2	2067	2898	1319	1321
BCAS3	889	1285	614	513
BCAS4	48	69	29	28
BCAT1	1157	1585	768	724
BCAT2	640	918	449	408
BCCIP	2603	3235	1714	1729
BCDIN3D	135	168	72	58
BCHE	122	167	70	77
BCKDHA	535	781	292	293
BCKDHB	517	727	381	299
BCKDK	542	802	402	312
BCL10	229	409	173	188
BCL11A	84	166	124	118
BCL2L1	130	187	108	105
BCL2L11	100	146	64	55
BCL2L12	427	580	282	292
BCL2L13	1116	1717	864	752
BCL2L2-PABPN1	2213	2837	1527	1314
BCL6	42	74	33	27
BCL6B	140	201	114	90
BCL7A	233	301	139	153
BCL7B	246	344	146	118
BCL7C	783	1001	485	493
BCL9	241	469	320	253
BCLAF1	17612	22226	10048	9203
BCOR	4228	7933	4711	3857
BCORL1	166	484	335	230
BCR	2128	3371	1744	1655
BCS1L	1347	1951	980	894
BDH1	91	134	92	70
BDH2	543	848	313	318
BDP1	6388	8364	4963	4875
BECN1	1546	2278	1047	1006
BEND3	255	440	262	230
BEND4	165	218	135	119
BEND7	121	204	159	124
BET1	280	379	191	205
BET1L	64	129	52	75
BEX1	205	227	172	171
BEX2	1237	1561	734	693
BEX4	572	753	302	347
BEX5	46	62	37	38
BFAR	929	1271	534	474
BFSP1	169	213	101	96
BHLHB9	477	610	342	303
BHLHE40	76	98	47	51
BICC1	368	519	197	177
BICD1	115	240	160	129
BICD2	1192	1695	934	882
BID	433	639	303	273
BIN1	220	273	150	142
BIN3	138	244	83	104
BIRC2	983	1356	660	625
BIRC5	1236	1705	880	959
BIRC6	15433	22636	11059	9682
BIVM-ERCC5	1631	2294	1152	1134
BLCAP	72	105	54	32
BLM	4243	6484	3204	2858
BLMH	1148	1601	823	834
BLOC1S1	593	825	371	336
BLOC1S2	411	607	285	249
BLOC1S4	136	169	105	85
BLOC1S6	322	419	214	204
BLVRA	641	886	472	469
BLVRB	271	391	159	153
BLZF1	807	1110	508	502
BMP1	155	184	107	77
BMP2K	755	1098	482	397
BMP4	58	75	43	47
BMP6	86	122	60	51
BMP7	511	762	344	265
BMP8B	53	72	36	38
BMPR1A	737	1078	490	435
BMPR1B	129	171	103	86
BMPR2	773	1189	622	556
BMS1	7295	9700	5243	5216
BNC2	78	132	67	61
BNIP1	304	488	193	166
BNIP2	1138	1603	837	773
BNIP3	729	1010	467	511
BNIP3L	275	364	167	188
BOC	103	167	96	92
BOD1	890	1221	507	444
BOD1L1	4100	5246	3097	2948
BOLA1	124	151	87	84
BOLA2	2724	3632	2082	1938
BOLA3	432	661	319	310
BOP1	6033	7970	3697	3550
BORA	591	895	407	331
BPGM	341	426	235	196
BPHL	328	515	245	228
BPNT1	1042	1577	730	731
BPTF	5885	10042	6204	5585
BRAF	384	684	344	313
BRAP	757	1051	509	493
BRAT1	977	1368	730	646
BRCA1	3770	5927	3180	2758
BRCA2	5346	7170	3840	3504
BRCC3	827	1068	528	571
BRD1	855	1324	805	717
BRD2	8110	12357	5560	4825
BRD3	339	486	329	293
BRD4	497	1123	849	649
BRD7	3820	5225	2426	2366
BRD8	2282	3244	1700	1632
BRD9	871	1330	782	704
BRE	617	842	411	410
BRF1	465	688	356	341
BRF2	257	348	175	138
BRI3	113	176	92	58
BRI3BP	224	307	167	149
BRIP1	2490	3821	1933	1664
BRIX1	3136	4390	2145	2193
BRK1	506	636	275	231
BRMS1	1042	1526	628	587
BRMS1L	645	906	405	345
BROX	1257	1775	852	765
BRPF1	1615	2335	1179	1008
BRPF3	623	1067	761	622
BRSK1	104	117	72	52
BRSK2	321	404	194	182
BRWD1	3467	4904	2687	2463
BRWD3	1909	3038	1661	1583
BSCL2	530	708	316	268
BSDC1	1210	1739	876	857
BSG	3271	4478	1998	1634
BSN	227	471	309	230
BTAF1	5380	7815	3489	3100
BTBD1	2469	3670	1445	1280
BTBD10	561	885	400	428
BTBD11	178	202	94	93
BTBD2	771	1226	644	538
BTBD3	1045	1426	833	726
BTBD6	839	1160	515	444
BTBD7	1081	1673	833	785
BTBD8	55	83	38	42
BTBD9	241	352	198	182
BTD	330	479	208	178
BTF3	9723	13436	5837	5599
BTF3L4	945	1390	696	649
BTG1	316	408	159	120
BTG3	527	731	375	388
BTN2A1	532	700	390	374
BTN2A2	280	399	203	196
BTN3A1	102	162	98	99
BTN3A2	90	137	81	75
BTN3A3	79	109	81	88
BTRC	712	1072	497	420
BUB1	6035	8865	3974	3506
BUB1B	3314	4730	2234	2021
BUB3	5230	7430	3396	3210
BUD13	649	910	416	361
BUD31	820	1175	562	513
BVES	88	165	58	62
BYSL	1112	1422	687	634
BZW1	7711	11115	5348	5228
BZW2	2682	3792	1776	1732
C10orf118	740	938	525	531
C10orf12	1499	2362	1297	1226
C10orf137	2569	3722	1741	1574
C10orf2	872	1328	762	590
C10orf32	98	123	36	35
C10orf76	598	883	499	438
C10orf88	335	500	240	203
C11orf1	166	195	95	74
C11orf24	319	498	201	169
C11orf30	545	760	409	313
C11orf31	634	810	463	435
C11orf48	493	636	348	378
C11orf49	188	314	139	121
C11orf54	172	280	138	107
C11orf57	940	1317	664	588
C11orf58	3056	4207	2217	2405
C11orf63	53	76	46	36
C11orf68	105	137	81	54
C11orf73	751	1040	507	407
C11orf74	485	691	271	304
C11orf80	149	173	90	86
C11orf82	933	1437	564	521
C11orf83	154	227	126	102
C11orf84	593	721	334	350
C11orf95	221	291	162	149
C12orf10	828	1075	490	387
C12orf23	428	559	249	268
C12orf29	1013	1331	592	513
C12orf4	856	1296	642	572
C12orf43	169	238	161	151
C12orf44	399	582	274	306
C12orf45	506	713	338	305
C12orf49	240	330	158	169
C12orf5	459	727	324	366
C12orf52	449	581	264	241
C12orf57	528	809	263	266
C12orf60	93	95	48	35
C12orf65	150	228	124	130
C12orf66	202	287	122	141
C12orf73	69	114	37	36
C12orf75	99	156	74	72
C14orf1	192	285	157	107
C14orf119	582	843	273	179
C14orf142	121	185	98	98
C14orf159	147	256	104	121
C14orf166	3963	5367	2244	2144
C14orf2	913	1247	582	588
C14orf28	46	61	36	29
C14orf37	125	213	115	71
C14orf79	89	119	54	41
C14orf80	386	469	266	267
C14orf93	137	164	78	80
C15orf27	65	100	39	37
C15orf38-AP3S2	841	1275	588	608
C15orf39	411	862	524	389
C15orf40	185	269	147	121
C15orf41	108	175	66	77
C15orf57	107	143	61	63
C15orf59	98	141	49	57
C15orf61	123	219	80	61
C16orf13	519	763	396	379
C16orf55	81	115	46	48
C16orf58	343	511	243	224
C16orf59	420	632	332	245
C16orf62	864	1266	578	484
C16orf70	379	547	249	217
C16orf72	545	806	406	418
C16orf80	661	1036	390	329
C16orf87	235	273	134	142
C16orf91	232	312	163	179
C16orf93	158	191	84	87
C16orf95	49	85	30	31
C17orf104	35	74	42	27
C17orf51	293	434	185	165
C17orf53	235	349	194	133
C17orf58	78	123	53	32
C17orf59	77	137	87	71
C17orf62	151	184	120	92
C17orf70	764	1080	529	468
C17orf75	611	794	418	379
C17orf80	866	1351	605	516
C17orf85	1326	1898	1031	1045
C17orf89	50	93	63	49
C18orf21	464	678	268	242
C18orf25	518	768	366	387
C18orf32	119	172	50	44
C18orf54	139	231	123	113
C18orf8	658	910	386	355
C19orf10	769	1021	493	494
C19orf12	73	92	33	42
C19orf24	312	433	190	203
C19orf25	97	113	60	55
C19orf40	69	102	54	46
C19orf43	966	1234	673	767
C19orf44	213	338	181	132
C19orf47	230	393	195	129
C19orf48	1095	1664	682	535
C19orf52	158	240	119	111
C19orf53	541	808	450	430
C19orf54	26	66	47	37
C19orf55	46	88	84	47
C19orf57	120	114	76	47
C19orf60	138	202	102	109
C19orf70	461	648	270	262
C1D	520	692	301	336
C1GALT1	392	511	222	216
C1GALT1C1	932	1286	597	542
C1QBP	13397	19611	9201	8530
C1orf101	63	109	48	54
C1orf109	341	491	271	258
C1orf112	1562	2399	1041	841
C1orf122	97	188	103	117
C1orf123	397	556	265	289
C1orf131	1086	1511	774	687
C1orf159	84	117	43	26
C1orf174	423	647	348	292
C1orf198	274	419	274	234
C1orf21	254	361	193	160
C1orf216	59	64	46	50
C1orf27	1066	1679	782	721
C1orf35	723	985	570	522
C1orf43	2004	2952	1323	1237
C1orf50	127	195	67	62
C1orf52	531	769	410	417
C1orf56	60	89	50	38
C1orf63	434	652	269	247
C1orf74	81	124	54	44
C1orf85	484	693	300	225
C1orf86	72	126	44	59
C20orf194	207	307	190	143
C20orf27	759	1049	398	377
C20orf96	38	107	56	52
C21orf2	101	135	96	77
C21orf33	1255	1583	840	803
C21orf58	105	152	87	87
C21orf59	1813	2508	1094	1015
C21orf91	423	545	204	188
C22orf29	317	500	243	193
C22orf39	51	80	39	44
C22orf46	44	63	58	39
C2CD2L	139	253	119	118
C2CD3	924	1464	804	670
C2CD5	1302	1923	1010	952
C2orf42	197	278	139	122
C2orf43	173	252	99	105
C2orf44	916	1301	601	506
C2orf47	704	944	420	358
C2orf49	408	532	264	231
C2orf68	121	135	72	70
C2orf69	406	603	300	248
C2orf74	191	238	134	114
C2orf76	156	227	103	97
C3orf14	505	729	330	291
C3orf17	1607	2324	1129	1044
C3orf33	141	180	96	117
C3orf37	1064	1500	746	697
C3orf38	821	1101	485	493
C3orf52	164	286	141	143
C3orf58	450	638	359	309
C3orf62	89	145	96	65
C3orf67	81	156	52	45
C4B_2	106	110	63	70
C4orf21	2307	3296	1688	1523
C4orf27	1019	1475	703	688
C4orf29	359	524	241	192
C4orf3	327	446	243	266
C4orf32	127	147	95	91
C4orf33	261	354	184	173
C4orf46	129	135	78	73
C5	92	114	56	53
C5orf15	1202	1656	651	461
C5orf22	781	1190	541	419
C5orf24	432	716	303	253
C5orf28	114	174	76	64
C5orf30	186	250	167	126
C5orf34	393	613	294	226
C5orf42	2376	3872	2115	1828
C5orf45	246	418	201	194
C5orf51	399	666	388	392
C5orf54	277	412	186	157
C6orf106	476	744	343	279
C6orf120	284	388	191	193
C6orf136	95	131	81	75
C6orf163	32	67	39	39
C6orf170	1148	1788	862	781
C6orf203	191	326	144	187
C6orf211	1635	2239	1138	1031
C6orf47	163	258	104	113
C6orf48	559	862	393	316
C6orf57	40	63	52	33
C6orf62	1323	2036	1093	1055
C6orf70	476	641	277	250
C6orf89	622	843	396	312
C7orf10	215	265	155	150
C7orf25	281	400	191	174
C7orf26	260	382	214	208
C7orf31	93	137	74	65
C7orf41	124	155	89	77
C7orf43	255	328	153	137
C7orf49	343	440	274	295
C7orf50	625	881	452	459
C7orf55-LUC7L2	3644	4795	2412	2331
C7orf60	198	307	154	157
C7orf63	186	267	139	138
C7orf73	35	78	69	56
C8orf33	980	1412	704	703
C8orf34	79	126	67	57
C8orf47	67	96	55	56
C8orf59	880	1205	496	495
C8orf76	827	1191	535	450
C8orf82	90	146	59	51
C9orf114	513	672	337	362
C9orf123	252	356	166	158
C9orf129	260	401	143	115
C9orf142	457	577	243	236
C9orf156	531	739	310	248
C9orf16	104	139	111	116
C9orf3	410	588	341	280
C9orf37	120	184	86	77
C9orf40	156	267	143	106
C9orf41	897	1311	642	605
C9orf64	553	727	371	353
C9orf69	162	229	92	68
C9orf72	290	447	201	224
C9orf78	1106	1559	704	627
C9orf85	138	195	97	89
C9orf89	114	176	77	69
C9orf9	44	78	21	24
C9orf91	115	144	110	80
CA11	55	74	44	29
CA2	5358	7662	3187	2933
CA5B	141	194	127	104
CA8	235	323	156	157
CAAP1	689	953	455	483
CAB39	960	1225	606	521
CAB39L	43	70	38	42
CABIN1	2702	4477	2608	2228
CABLES1	338	510	240	243
CABLES2	121	240	116	76
CACHD1	1382	2117	1061	968
CACNA1B	42	77	49	53
CACNA1C	40	65	45	35
CACNA1D	64	135	61	47
CACNA1H	290	484	242	216
CACNA2D1	779	1032	544	485
CACNA2D2	112	201	135	91
CACNA2D3	252	364	212	155
CACNB2	81	92	40	51
CACNB3	48	80	41	43
CACNB4	114	160	90	75
CACTIN	582	817	342	371
CACUL1	608	905	388	336
CACYBP	5905	8580	3917	3837
CAD	3467	6479	3986	3543
CADM1	926	1357	536	469
CADM4	119	134	82	72
CADPS2	753	1105	528	495
CALCOCO1	326	473	287	259
CALCOCO2	1057	1567	661	607
CALD1	694	853	486	544
CALM1	2399	3296	1674	1744
CALM2	6153	8855	4057	3741
CALM3	1887	2574	1191	1192
CALML4	144	172	113	101
CALR	11718	15180	6779	6526
CALU	2409	3385	1637	1650
CAMK1	957	1504	631	608
CAMK2D	586	845	415	320
CAMK2G	514	698	288	247
CAMK4	168	208	114	113
CAMKK1	247	382	258	193
CAMKK2	417	607	334	257
CAMKMT	178	235	125	104
CAMKV	139	189	125	101
CAMLG	780	1103	529	521
CAMSAP1	1350	2007	1070	930
CAMSAP2	2809	4019	2118	1912
CAMSAP3	136	265	167	137
CAMTA1	289	448	221	223
CAMTA2	190	337	231	185
CAND1	11843	16866	7924	7213
CAND2	681	1010	588	490
CANT1	423	568	324	302
CANX	23867	33268	17215	17399
CAP1	3248	4414	1901	1703
CAP2	221	290	124	118
CAPG	96	111	55	47
CAPN1	519	844	382	341
CAPN10	348	413	224	198
CAPN2	3830	5347	2529	2533
CAPN7	2367	3411	1662	1552
CAPNS1	841	1048	565	505
CAPRIN1	11044	15851	7164	6193
CAPRIN2	509	736	367	293
CAPZA1	3556	5076	2146	1956
CAPZA2	1875	2533	1318	1252
CAPZB	1186	1556	913	840
CARD10	145	245	144	135
CARD8	234	377	209	200
CARHSP1	310	430	145	143
CARKD	201	276	152	116
CARM1	961	1507	751	597
CARS	1562	2134	1076	956
CARS2	863	1225	545	478
CASC3	951	1486	822	715
CASC4	888	1202	551	490
CASC5	4604	6597	3310	3024
CASD1	475	670	304	274
CASK	1357	2140	1023	959
CASKIN1	48	74	46	42
CASKIN2	140	227	137	95
CASP2	618	1127	645	621
CASP3	592	784	362	312
CASP6	306	448	204	197
CASP7	412	506	261	210
CASP8	201	279	127	129
CASP8AP2	3189	4737	2633	2453
CASP9	154	206	125	87
CAST	2172	3132	1477	1381
CASZ1	88	149	77	57
CAT	867	1176	490	439
CATSPER2	41	84	53	33
CAV1	57	75	31	38
CAV2	43	77	35	22
CBFA2T2	137	218	124	115
CBFB	466	683	331	358
CBL	547	957	544	463
CBLB	191	334	159	164
CBLL1	430	546	237	201
CBR1	1508	2219	1077	1031
CBR3	49	77	44	57
CBR4	423	696	335	362
CBS	5512	7929	4196	3891
CBWD1	3196	4498	2264	2309
CBWD2	3322	4713	2413	2407
CBWD3	6772	9458	4799	4973
CBWD6	3027	4246	2142	2263
CBX1	816	1085	634	649
CBX2	461	651	351	346
CBX3	5076	7128	4008	3972
CBX4	334	520	204	177
CBX5	1102	1496	956	918
CBX6	757	1007	545	541
CBX8	242	277	157	156
CBY1	301	387	248	229
CC2D1A	453	853	462	405
CC2D1B	732	1026	542	519
CC2D2A	422	687	293	294
CCAR1	6075	8027	4270	4007
CCBL1	124	219	103	83
CCBL2	1269	1873	827	769
CCDC101	326	443	202	220
CCDC102A	124	196	102	120
CCDC103	47	64	32	34
CCDC104	1159	1517	690	596
CCDC106	122	175	94	107
CCDC107	140	196	77	84
CCDC109B	716	1074	436	364
CCDC111	253	392	208	165
CCDC112	398	563	306	259
CCDC113	100	165	78	73
CCDC115	160	171	86	88
CCDC117	702	975	570	628
CCDC12	566	783	443	434
CCDC121	65	106	59	45
CCDC122	141	168	84	82
CCDC124	758	953	524	575
CCDC125	372	585	293	268
CCDC126	101	142	83	72
CCDC127	237	342	196	169
CCDC130	216	327	124	149
CCDC132	1250	1804	868	797
CCDC134	229	415	220	182
CCDC136	214	347	233	196
CCDC137	432	567	340	367
CCDC138	2089	3171	1581	1463
CCDC14	2623	3604	1725	1606
CCDC142	271	426	228	211
CCDC144A	235	376	195	165
CCDC146	72	136	73	57
CCDC15	402	601	347	314
CCDC150	1180	1685	946	867
CCDC157	85	130	52	49
CCDC167	329	547	311	315
CCDC168	108	141	52	40
CCDC171	211	268	158	136
CCDC174	435	629	386	310
CCDC176	71	86	64	44
CCDC18	2099	2875	1602	1575
CCDC180	258	427	263	196
CCDC181	483	539	332	326
CCDC22	436	688	347	303
CCDC23	130	202	62	77
CCDC25	283	369	168	177
CCDC28A	306	456	193	227
CCDC28B	203	299	136	127
CCDC3	79	71	41	27
CCDC34	637	710	491	440
CCDC40	105	147	93	85
CCDC41	1038	1560	900	795
CCDC43	887	1206	698	661
CCDC47	3362	4834	2623	2552
CCDC50	432	611	318	302
CCDC51	843	1230	601	630
CCDC53	279	324	146	102
CCDC57	451	649	368	362
CCDC58	1106	1569	587	603
CCDC59	1469	2098	825	754
CCDC6	498	839	462	405
CCDC61	52	62	27	26
CCDC64	40	57	33	33
CCDC66	1710	2402	1351	1120
CCDC69	51	76	32	44
CCDC7	34	69	30	30
CCDC71	578	817	420	390
CCDC74A	190	293	120	121
CCDC74B	126	226	91	87
CCDC77	644	820	430	393
CCDC8	508	688	359	373
CCDC80	69	81	37	30
CCDC82	526	719	416	402
CCDC84	187	292	130	125
CCDC85B	155	228	177	183
CCDC85C	183	345	205	217
CCDC86	985	1479	907	865
CCDC88A	3267	4701	2844	2629
CCDC88C	308	552	334	317
CCDC9	97	137	79	85
CCDC90B	651	915	349	346
CCDC91	608	748	443	421
CCDC92	88	121	122	92
CCDC93	850	1330	810	747
CCDC94	500	666	255	274
CCDC97	136	229	151	112
CCHCR1	740	1079	504	501
CCM2	301	454	232	193
CCNA2	4593	6668	2933	2789
CCNB1	9002	12894	5792	5618
CCNB1IP1	869	1265	527	408
CCNB2	2044	3055	1309	1166
CCNB3	58	118	63	34
CCNC	1961	2685	1158	1070
CCND1	183	227	118	131
CCND2	426	620	356	361
CCND3	323	434	185	176
CCNDBP1	629	873	388	357
CCNE1	695	889	455	396
CCNE2	981	1348	558	451
CCNF	1428	2144	1092	1037
CCNG1	4640	6596	3302	3073
CCNG2	330	517	292	296
CCNH	1435	2098	1045	941
CCNI	2289	3908	2339	2031
CCNJ	601	817	369	313
CCNK	343	726	408	329
CCNL1	1750	2366	894	756
CCNL2	1699	2493	1261	1217
CCNT1	1454	2000	787	688
CCNT2	1157	1767	743	623
CCNY	587	902	346	355
CCNYL1	105	190	99	118
CCP110	1519	2351	1366	1251
CCPG1	840	1163	555	481
CCRN4L	435	680	298	230
CCS	231	319	143	156
CCSAP	316	456	266	256
CCSER1	350	538	240	228
CCSER2	822	1281	653	625
CCT2	19501	27338	11751	11156
CCT3	27478	39168	16312	14958
CCT4	23043	32571	14477	13543
CCT5	17332	24470	10200	9505
CCT6A	17195	23273	10500	9756
CCT7	20260	27940	13048	13084
CCT8	16458	23073	11202	10771
CCZ1	2647	3589	1567	1425
CCZ1B	2578	3523	1546	1410
CD101	68	126	73	79
CD109	428	729	465	380
CD151	931	1175	500	349
CD164	1279	1714	676	608
CD276	456	816	447	407
CD2AP	1725	2174	1236	1225
CD2BP2	1658	2197	1089	1152
CD320	980	1472	779	668
CD3EAP	991	1293	659	638
CD46	1669	2212	1182	1097
CD47	1068	1533	708	680
CD55	887	1445	714	636
CD58	124	201	83	51
CD59	726	1014	418	380
CD63	2005	2660	1313	1390
CD81	1587	2276	1158	1005
CD83	84	84	42	43
CD9	299	400	163	175
CD97	55	98	83	43
CD99	1320	1796	1054	1006
CD99L2	365	545	289	256
CDADC1	234	359	150	151
CDAN1	297	434	221	193
CDC123	4114	6058	2273	1985
CDC14A	106	199	92	56
CDC14B	530	827	403	347
CDC16	1159	1916	995	938
CDC20	4060	6031	3051	2781
CDC23	2053	2885	1354	1250
CDC25A	2661	3646	1589	1497
CDC25B	281	568	321	271
CDC25C	565	913	446	363
CDC26	419	539	268	237
CDC27	4183	5878	2478	2068
CDC34	705	1004	446	440
CDC37	4890	6276	2792	2833
CDC37L1	177	251	125	132
CDC40	1239	1885	970	882
CDC42	3972	5620	2411	2300
CDC42BPA	4601	6956	3697	3597
CDC42BPB	1750	3057	1777	1622
CDC42EP1	347	467	289	235
CDC42EP2	76	123	68	54
CDC42EP3	63	93	51	33
CDC42EP4	130	213	103	99
CDC42SE1	292	381	215	186
CDC42SE2	59	86	50	47
CDC45	2937	4261	1864	1771
CDC5L	6397	8868	4036	3867
CDC6	3395	4691	1972	1760
CDC7	3039	4119	1933	1803
CDC73	1510	2161	1258	1254
CDCA2	1915	2771	1337	1330
CDCA3	655	1012	453	407
CDCA4	619	825	390	380
CDCA5	587	683	343	336
CDCA7	1507	1903	1009	1059
CDCA7L	992	1459	756	708
CDCA8	759	1177	481	451
CDH2	913	1336	638	569
CDH23	78	123	48	43
CDH24	79	127	49	40
CDHR1	30	57	45	27
CDIP1	94	147	78	80
CDIPT	419	604	200	167
CDK1	4050	5719	2429	2070
CDK10	254	386	217	189
CDK11B	1113	1415	769	728
CDK12	3410	5083	2717	2291
CDK13	2236	3417	1810	1553
CDK14	261	433	227	211
CDK16	3197	4873	2067	1665
CDK17	577	856	369	357
CDK18	28	82	36	31
CDK19	177	214	105	85
CDK2	1456	1946	766	805
CDK20	115	132	72	69
CDK2AP1	448	631	350	325
CDK2AP2	89	126	66	74
CDK3	52	68	36	31
CDK4	3499	4890	2146	2030
CDK5	573	840	333	310
CDK5R1	55	90	31	17
CDK5RAP1	1067	1582	716	636
CDK5RAP2	2904	4477	2534	2327
CDK5RAP3	1408	1849	962	997
CDK6	337	502	216	203
CDK7	741	1034	444	418
CDK8	509	733	342	296
CDK9	413	563	311	275
CDKAL1	1267	1951	931	917
CDKL1	75	129	55	55
CDKL2	56	93	44	45
CDKL5	155	246	105	101
CDKN1A	92	153	63	77
CDKN1B	266	361	170	162
CDKN2A	654	991	594	606
CDKN2AIP	640	840	339	246
CDKN2AIPNL	126	162	124	82
CDKN2B	79	126	56	51
CDKN2C	488	723	340	313
CDKN3	744	1051	461	395
CDON	601	1014	552	420
CDR2	492	645	374	335
CDR2L	165	237	140	151
CDRT4	63	103	40	47
CDS1	328	404	223	181
CDS2	918	1327	560	482
CDT1	858	1377	721	633
CDV3	1468	1991	949	936
CDX2	129	181	109	86
CDYL	1177	1749	735	650
CEBPA	47	82	36	39
CEBPB	57	92	47	35
CEBPG	582	826	381	347
CEBPZ	6023	8256	4127	3887
CECR2	429	680	397	388
CECR5	1594	2160	937	873
CELF1	1739	2832	1393	1220
CELF2	99	172	93	90
CELSR1	538	1050	655	527
CELSR2	397	900	550	396
CELSR3	1390	2189	1147	904
CENPA	146	213	83	102
CENPB	1417	1936	1018	1042
CENPC1	1849	2574	1222	1030
CENPE	7980	8514	5476	5382
CENPF	25428	32402	17931	17450
CENPH	1176	1676	796	822
CENPI	1749	2457	1188	1104
CENPJ	1426	2014	1034	986
CENPK	649	976	436	440
CENPL	479	714	290	256
CENPM	325	452	289	283
CENPN	1077	1525	738	721
CENPO	503	801	399	339
CENPP	274	452	221	211
CENPQ	482	645	292	310
CENPT	887	1250	566	529
CENPV	1329	1969	802	749
CENPW	942	1253	661	673
CEP104	999	1458	746	751
CEP112	428	685	440	415
CEP120	874	1261	622	584
CEP128	1182	1611	833	818
CEP135	1514	2175	1214	1203
CEP152	1814	2657	1497	1425
CEP164	940	1531	796	775
CEP170	4232	6180	3283	2962
CEP170B	689	1107	613	522
CEP19	42	61	27	44
CEP192	3015	4455	2183	1970
CEP250	1925	2853	1802	1702
CEP290	3350	3650	2319	2418
CEP350	6389	9335	4902	4440
CEP41	166	301	131	114
CEP44	474	713	399	419
CEP55	1745	2446	1108	954
CEP57	1587	2245	1064	1007
CEP57L1	531	767	353	264
CEP63	424	496	260	213
CEP68	455	646	346	285
CEP70	646	916	440	410
CEP72	465	697	418	353
CEP76	427	626	291	300
CEP78	2177	3120	1580	1469
CEP85	1498	2089	1028	911
CEP85L	766	1157	524	475
CEP89	230	315	154	142
CEP95	1150	1678	972	892
CEP97	1226	1750	898	821
CEPT1	1139	1527	615	482
CERCAM	456	649	350	346
CERK	1043	1548	664	575
CERS1	75	170	66	54
CERS2	1525	2224	957	766
CERS4	125	195	78	80
CERS5	273	433	237	172
CERS6	628	991	506	428
CES2	519	730	383	356
CES3	180	251	120	106
CETN2	702	981	517	507
CETN3	500	779	388	380
CFD	31	68	52	41
CFDP1	1509	2039	1040	1059
CFL1	7159	9978	4898	4974
CFL2	574	794	373	376
CFLAR	218	319	215	188
CGGBP1	870	1279	568	517
CGN	398	577	342	284
CGNL1	62	96	56	30
CGRRF1	334	463	179	169
CHAC2	452	668	322	324
CHAF1A	2794	3703	2147	2120
CHAF1B	1590	2170	1051	930
CHAMP1	344	630	353	337
CHCHD1	331	477	278	273
CHCHD10	80	163	93	74
CHCHD2	4254	5811	2400	2078
CHCHD3	1664	2448	1249	1302
CHCHD4	425	564	300	280
CHCHD5	111	135	80	52
CHCHD6	329	475	240	222
CHCHD7	700	983	464	473
CHD1	6341	8753	4379	4217
CHD1L	3933	5650	2993	2737
CHD2	2630	3734	2082	2004
CHD3	2881	4136	2231	2105
CHD4	12092	17308	9749	9242
CHD6	2745	4211	2184	1969
CHD7	3068	4802	2887	2516
CHD8	6191	9584	5319	4665
CHD9	2878	4245	2307	1996
CHDH	348	483	210	186
CHEK1	1630	2405	1135	1043
CHEK2	1289	1726	759	743
CHERP	263	646	423	297
CHFR	201	307	197	158
CHIC1	51	66	44	39
CHIC2	140	265	105	121
CHID1	788	1197	558	528
CHKA	445	663	290	280
CHKB	354	515	268	245
CHM	648	988	452	417
CHML	1726	2390	1160	1131
CHMP1A	638	744	414	423
CHMP1B	362	492	245	263
CHMP2A	601	832	443	440
CHMP2B	1231	1680	696	674
CHMP4B	585	951	564	549
CHMP4C	49	78	30	37
CHMP5	1470	1978	1069	1149
CHMP6	163	210	108	96
CHMP7	616	707	426	360
CHN1	511	794	366	359
CHN2	80	114	58	44
CHORDC1	1894	2625	1301	1241
CHP1	222	314	144	133
CHPF	311	509	250	236
CHPF2	507	745	333	299
CHPT1	1161	1710	821	736
CHRAC1	143	163	95	91
CHRFAM7A	97	147	79	67
CHRNA5	1236	1836	863	772
CHRNA7	111	186	85	77
CHST10	456	705	296	259
CHST11	105	130	56	59
CHST12	185	277	152	148
CHST14	91	137	87	67
CHST15	130	186	96	93
CHST2	77	103	57	50
CHST3	46	79	38	38
CHST7	58	74	52	36
CHSY1	1162	1765	881	899
CHSY3	180	238	138	104
CHTF18	1131	1643	765	683
CHTF8	230	331	145	99
CHTOP	1303	1669	872	925
CHUK	2696	3896	1969	1827
CHURC1-FNTB	751	1064	576	527
CIAO1	1395	2058	921	916
CIAPIN1	1373	1850	869	885
CIB1	492	738	349	280
CIB2	90	139	61	48
CIC	435	781	536	416
CILP2	62	103	65	54
CINP	629	1005	478	443
CIR1	513	692	349	340
CIRBP	1159	1631	650	656
CIRH1A	1323	2109	1139	1027
CISD1	259	371	160	139
CISD2	852	1138	545	487
CISD3	68	91	28	19
CIT	1347	2185	1343	1244
CITED1	322	409	123	127
CITED2	116	194	62	60
CIZ1	1414	2269	1225	1036
CKAP2	5196	7079	3763	3508
CKAP2L	1030	1539	824	722
CKAP4	1223	1702	856	737
CKAP5	13238	19412	9923	9372
CKB	8051	11540	4488	3790
CKMT1A	1559	2369	1297	1308
CKMT1B	1581	2404	1293	1308
CKS1B	860	1100	503	514
CKS2	1622	2366	953	771
CLASP1	1570	2413	1378	1195
CLASP2	4138	6218	2854	2520
CLASRP	472	647	332	285
CLCC1	1612	2242	1210	1138
CLCN2	90	140	79	92
CLCN3	1701	2512	1116	1044
CLCN5	462	694	302	263
CLCN6	212	325	220	188
CLCN7	543	947	454	309
CLDN12	217	282	139	111
CLDN15	71	84	38	40
