	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
BCL6B	83	114	114	90
BCL7A	118	146	139	153
BCL7B	118	164	146	118
BCL7C	333	449	485	493
BCL9	148	182	320	253
BCLAF1	8816	10959	10048	9203
BCOR	2163	2958	4711	3857
BCORL1	101	142	335	230
BCR	1167	1325	1744	1655
BCS1L	778	888	980	894
BDH1	50	74	92	70
BDH2	312	374	313	318
BDP1	3098	4139	4963	4875
BECN1	761	1012	1047	1006
BEND3	156	175	262	230
BEND4	84	113	135	119
BEND7	80	94	159	124
BET1	124	177	191	205
BET1L	27	49	52	75
BEX1	97	118	172	171
BEX2	577	689	734	693
BEX4	286	390	302	347
BEX5	26	19	37	38
BFAR	470	521	534	474
BFSP1	98	119	101	96
BHLHB9	214	298	342	303
BHLHE40	37	64	47	51
BICC1	182	243	197	177
BICD1	61	77	160	129
BICD2	601	809	934	882
BID	229	261	303	273
BIN1	98	150	150	142
BIN3	74	103	83	104
BIRC2	447	592	660	625
BIRC5	517	681	880	959
BIRC6	7893	9898	11059	9682
BIVM-ERCC5	824	1087	1152	1134
BLCAP	35	36	54	32
BLM	2216	2865	3204	2858
BLMH	561	709	823	834
BLOC1S1	251	361	371	336
BLOC1S2	186	248	285	249
BLOC1S4	59	64	105	85
BLOC1S6	167	168	214	204
BLVRA	302	431	472	469
BLVRB	149	157	159	153
BLZF1	384	467	508	502
BMP1	64	113	107	77
BMP2K	379	557	482	397
BMP4	27	35	43	47
BMP6	33	43	60	51
BMP7	265	332	344	265
BMP8B	22	27	36	38
BMPR1A	386	505	490	435
BMPR1B	56	81	103	86
BMPR2	377	524	622	556
BMS1	3468	4609	5243	5216
BNC2	55	57	67	61
BNIP1	158	173	193	166
BNIP2	568	703	837	773
BNIP3	343	468	467	511
BNIP3L	165	146	167	188
BOC	54	81	96	92
BOD1	396	514	507	444
BOD1L1	1863	2614	3097	2948
BOLA1	70	66	87	84
BOLA2	1286	1566	2082	1938
BOLA3	237	284	319	310
BOP1	3141	3490	3697	3550
BORA	307	421	407	331
BPGM	152	198	235	196
BPHL	155	217	245	228
BPNT1	562	663	730	731
BPTF	2975	4145	6204	5585
BRAF	219	325	344	313
BRAP	360	453	509	493
BRAT1	500	606	730	646
BRCA1	2056	2606	3180	2758
BRCA2	2276	3271	3840	3504
BRCC3	384	542	528	571
BRD1	453	574	805	717
BRD2	4286	5814	5560	4825
BRD3	189	252	329	293
BRD4	279	324	849	649
BRD7	1892	2423	2426	2366
BRD8	1205	1596	1700	1632
BRD9	461	587	782	704
BRE	285	391	411	410
BRF1	238	310	356	341
BRF2	122	142	175	138
BRI3	47	63	92	58
BRI3BP	126	160	167	149
BRIP1	1330	1596	1933	1664
BRIX1	1641	1869	2145	2193
BRK1	196	314	275	231
BRMS1	605	644	628	587
BRMS1L	283	415	405	345
BROX	624	822	852	765
BRPF1	785	1084	1179	1008
BRPF3	313	443	761	622
BRSK1	40	68	72	52
BRSK2	126	156	194	182
BRWD1	1877	2312	2687	2463
BRWD3	931	1213	1661	1583
BSCL2	241	305	316	268
BSDC1	630	759	876	857
BSG	1568	1975	1998	1634
BSN	108	167	309	230
BTAF1	2764	3431	3489	3100
BTBD1	1308	1550	1445	1280
BTBD10	330	358	400	428
BTBD11	63	86	94	93
BTBD2	365	512	644	538
BTBD3	532	627	833	726
BTBD6	453	522	515	444
BTBD7	530	724	833	785
BTBD8	17	35	38	42
BTBD9	123	138	198	182
BTD	144	190	208	178
BTF3	4750	6294	5837	5599
BTF3L4	507	610	696	649
BTG1	116	189	159	120
BTG3	244	334	375	388
BTN2A1	265	350	390	374
BTN2A2	163	186	203	196
BTN3A1	59	78	98	99
BTN3A2	49	71	81	75
BTN3A3	37	71	81	88
BTRC	364	482	497	420
BUB1	2968	3726	3974	3506
BUB1B	1611	2099	2234	2021
BUB3	2612	3288	3396	3210
BUD13	373	407	416	361
BUD31	420	474	562	513
BVES	43	46	58	62
BYSL	529	657	687	634
BZW1	3925	4799	5348	5228
BZW2	1369	1627	1776	1732
C10orf118	383	452	525	531
C10orf12	757	1003	1297	1226
C10orf137	1259	1637	1741	1574
C10orf2	466	668	762	590
C10orf32	37	56	36	35
C10orf76	305	410	499	438
C10orf88	175	226	240	203
C11orf1	62	86	95	74
C11orf24	175	244	201	169
C11orf30	260	346	409	313
C11orf31	338	344	463	435
C11orf48	247	338	348	378
C11orf49	103	149	139	121
C11orf54	88	144	138	107
C11orf57	536	567	664	588
C11orf58	1649	2011	2217	2405
C11orf63	22	47	46	36
C11orf68	54	63	81	54
C11orf73	371	489	507	407
C11orf74	246	272	271	304
C11orf80	63	86	90	86
C11orf82	461	615	564	521
C11orf83	79	87	126	102
C11orf84	287	364	334	350
C11orf95	90	125	162	149
C12orf10	385	472	490	387
C12orf23	195	248	249	268
C12orf29	486	599	592	513
C12orf4	458	593	642	572
C12orf43	82	113	161	151
C12orf44	213	255	274	306
C12orf45	230	336	338	305
C12orf49	123	139	158	169
C12orf5	240	303	324	366
C12orf52	219	290	264	241
C12orf57	255	312	263	266
C12orf60	32	53	48	35
C12orf65	112	91	124	130
C12orf66	102	127	122	141
C12orf73	27	45	37	36
C12orf75	41	60	74	72
C14orf1	105	137	157	107
C14orf119	278	375	273	179
C14orf142	57	64	98	98
C14orf159	84	89	104	121
C14orf166	1805	2347	2244	2144
C14orf2	383	569	582	588
C14orf28	24	33	36	29
C14orf37	90	83	115	71
C14orf79	44	57	54	41
C14orf80	166	188	266	267
C14orf93	62	85	78	80
C15orf27	24	40	39	37
C15orf38-AP3S2	420	532	588	608
C15orf39	206	313	524	389
C15orf40	89	113	147	121
C15orf41	44	79	66	77
C15orf57	55	74	61	63
C15orf59	51	65	49	57
C15orf61	48	99	80	61
C16orf13	239	331	396	379
C16orf55	37	48	46	48
C16orf58	184	185	243	224
C16orf59	239	271	332	245
C16orf62	427	528	578	484
C16orf70	190	239	249	217
C16orf72	285	354	406	418
C16orf80	323	420	390	329
C16orf87	97	161	134	142
C16orf91	120	138	163	179
C16orf93	80	97	84	87
C16orf95	19	34	30	31
C17orf104	25	22	42	27
C17orf51	126	187	185	165
C17orf53	104	167	194	133
C17orf58	49	44	53	32
C17orf59	42	61	87	71
C17orf62	87	102	120	92
C17orf70	372	471	529	468
C17orf75	279	372	418	379
C17orf80	496	615	605	516
C17orf85	672	885	1031	1045
C17orf89	15	28	63	49
C18orf21	218	257	268	242
C18orf25	284	348	366	387
C18orf32	44	68	50	44
C18orf54	60	92	123	113
C18orf8	326	385	386	355
C19orf10	333	451	493	494
C19orf12	25	40	33	42
C19orf24	145	198	190	203
C19orf25	54	52	60	55
C19orf40	30	34	54	46
C19orf43	449	612	673	767
C19orf44	105	134	181	132
C19orf47	130	177	195	129
C19orf48	553	636	682	535
C19orf52	81	103	119	111
C19orf53	273	376	450	430
C19orf54	7	22	47	37
C19orf55	33	27	84	47
C19orf57	65	54	76	47
C19orf60	64	59	102	109
C19orf70	211	248	270	262
C1D	238	353	301	336
C1GALT1	182	222	222	216
C1GALT1C1	486	547	597	542
C1QBP	6505	8186	9201	8530
C1orf101	31	38	48	54
C1orf109	204	227	271	258
C1orf112	909	1012	1041	841
C1orf122	51	60	103	117
C1orf123	204	253	265	289
C1orf131	547	687	774	687
C1orf159	33	47	43	26
C1orf174	246	306	348	292
C1orf198	131	176	274	234
C1orf21	121	159	193	160
C1orf216	30	36	46	50
C1orf27	575	698	782	721
C1orf35	394	488	570	522
C1orf43	1064	1396	1323	1237
C1orf50	67	78	67	62
C1orf52	254	340	410	417
C1orf56	33	36	50	38
C1orf63	217	297	269	247
C1orf74	53	46	54	44
C1orf85	286	295	300	225
C1orf86	37	42	44	59
C20orf194	86	136	190	143
C20orf27	400	472	398	377
C20orf96	22	31	56	52
C21orf2	70	61	96	77
C21orf33	598	752	840	803
C21orf58	52	75	87	87
C21orf59	838	1181	1094	1015
C21orf91	185	239	204	188
C22orf29	163	204	243	193
C22orf39	23	34	39	44
C22orf46	34	36	58	39
C2CD2L	83	108	119	118
C2CD3	439	626	804	670
C2CD5	640	931	1010	952
C2orf42	103	138	139	122
C2orf43	99	123	99	105
C2orf44	518	552	601	506
C2orf47	295	400	420	358
C2orf49	218	226	264	231
C2orf68	45	55	72	70
C2orf69	177	255	300	248
C2orf74	77	104	134	114
C2orf76	70	101	103	97
C3orf14	248	315	330	291
C3orf17	830	1037	1129	1044
C3orf33	74	72	96	117
C3orf37	479	684	746	697
C3orf38	380	533	485	493
C3orf52	92	133	141	143
C3orf58	230	278	359	309
C3orf62	32	44	96	65
C3orf67	38	59	52	45
C4B_2	42	54	63	70
C4orf21	1138	1430	1688	1523
C4orf27	503	676	703	688
C4orf29	168	209	241	192
C4orf3	133	208	243	266
C4orf32	49	77	95	91
C4orf33	136	145	184	173
C4orf46	56	69	78	73
C5	37	50	56	53
C5orf15	578	697	651	461
C5orf22	395	519	541	419
C5orf24	213	309	303	253
C5orf28	65	75	76	64
C5orf30	94	124	167	126
C5orf34	203	258	294	226
C5orf42	1221	1576	2115	1828
C5orf45	132	171	201	194
C5orf51	181	258	388	392
C5orf54	122	161	186	157
C6orf106	224	301	343	279
C6orf120	139	166	191	193
C6orf136	40	59	81	75
C6orf163	21	29	39	39
C6orf170	564	780	862	781
C6orf203	129	129	144	187
C6orf211	784	1089	1138	1031
C6orf47	105	101	104	113
C6orf48	294	369	393	316
C6orf57	22	35	52	33
C6orf62	619	839	1093	1055
C6orf70	262	294	277	250
C6orf89	317	385	396	312
C7orf10	90	133	155	150
C7orf25	146	189	191	174
C7orf26	134	147	214	208
C7orf31	40	42	74	65
C7orf41	55	70	89	77
C7orf43	128	172	153	137
C7orf49	183	202	274	295
C7orf50	334	385	452	459
C7orf55-LUC7L2	1766	2229	2412	2331
C7orf60	120	161	154	157
C7orf63	98	119	139	138
C7orf73	24	35	69	56
C8orf33	505	588	704	703
C8orf34	47	54	67	57
C8orf47	30	36	55	56
C8orf59	409	489	496	495
C8orf76	404	478	535	450
C8orf82	46	63	59	51
C9orf114	259	259	337	362
C9orf123	113	166	166	158
C9orf129	133	157	143	115
C9orf142	241	279	243	236
C9orf156	263	286	310	248
C9orf16	66	67	111	116
C9orf3	191	258	341	280
C9orf37	70	94	86	77
C9orf40	59	92	143	106
C9orf41	391	528	642	605
C9orf64	247	319	371	353
C9orf69	90	94	92	68
C9orf72	154	170	201	224
C9orf78	551	681	704	627
C9orf85	59	73	97	89
C9orf89	71	72	77	69
C9orf9	24	34	21	24
C9orf91	55	67	110	80
CA11	33	44	44	29
CA2	2623	3422	3187	2933
CA5B	63	116	127	104
CA8	124	154	156	157
CAAP1	349	428	455	483
CAB39	474	588	606	521
CAB39L	17	31	38	42
CABIN1	1346	1908	2608	2228
CABLES1	161	213	240	243
CABLES2	53	76	116	76
CACHD1	709	923	1061	968
CACNA1B	25	28	49	53
CACNA1C	12	30	45	35
CACNA1D	40	46	61	47
CACNA1H	150	195	242	216
CACNA2D1	343	500	544	485
CACNA2D2	72	79	135	91
CACNA2D3	101	157	212	155
CACNB2	38	38	40	51
CACNB3	18	39	41	43
CACNB4	49	68	90	75
CACTIN	270	358	342	371
CACUL1	311	412	388	336
CACYBP	2891	3665	3917	3837
CAD	1959	2718	3986	3543
CADM1	482	554	536	469
CADM4	53	88	82	72
CADPS2	405	468	528	495
CALCOCO1	200	230	287	259
CALCOCO2	558	678	661	607
CALD1	374	463	486	544
CALM1	1149	1494	1674	1744
CALM2	3152	3844	4057	3741
CALM3	945	1251	1191	1192
CALML4	60	85	113	101
CALR	5744	7095	6779	6526
CALU	1258	1558	1637	1650
CAMK1	514	631	631	608
CAMK2D	301	360	415	320
CAMK2G	281	320	288	247
CAMK4	58	78	114	113
CAMKK1	178	170	258	193
CAMKK2	224	264	334	257
CAMKMT	89	110	125	104
CAMKV	69	95	125	101
CAMLG	409	506	529	521
CAMSAP1	691	872	1070	930
CAMSAP2	1466	1844	2118	1912
CAMSAP3	84	83	167	137
CAMTA1	154	230	221	223
CAMTA2	88	133	231	185
CAND1	6055	7501	7924	7213
CAND2	365	434	588	490
CANT1	225	268	324	302
CANX	12520	15092	17215	17399
CAP1	1605	1970	1901	1703
CAP2	94	160	124	118
CAPG	45	48	55	47
CAPN1	287	358	382	341
CAPN10	160	192	224	198
CAPN2	1983	2444	2529	2533
CAPN7	1083	1448	1662	1552
CAPNS1	420	548	565	505
CAPRIN1	5669	6897	7164	6193
CAPRIN2	264	334	367	293
CAPZA1	1742	2359	2146	1956
CAPZA2	914	1059	1318	1252
CAPZB	556	640	913	840
CARD10	75	105	144	135
CARD8	100	169	209	200
CARHSP1	138	169	145	143
CARKD	121	122	152	116
CARM1	466	676	751	597
CARS	836	1014	1076	956
CARS2	379	503	545	478
CASC3	505	652	822	715
CASC4	455	571	551	490
CASC5	2283	3001	3310	3024
CASD1	239	290	304	274
CASK	690	970	1023	959
CASKIN1	25	27	46	42
CASKIN2	62	113	137	95
CASP2	306	396	645	621
CASP3	260	340	362	312
CASP6	153	193	204	197
CASP7	192	225	261	210
CASP8	107	144	127	129
CASP8AP2	1678	2145	2633	2453
CASP9	65	103	125	87
CAST	1167	1356	1477	1381
CASZ1	36	65	77	57
CAT	416	503	490	439
CATSPER2	26	37	53	33
CAV1	29	33	31	38
CAV2	35	40	35	22
CBFA2T2	70	83	124	115
CBFB	214	251	331	358
CBL	247	448	544	463
CBLB	110	134	159	164
CBLL1	205	284	237	201
CBR1	685	999	1077	1031
CBR3	40	29	44	57
CBR4	248	331	335	362
CBS	2687	3530	4196	3891
CBWD1	1608	2042	2264	2309
CBWD2	1699	2100	2413	2407
CBWD3	3347	4281	4799	4973
CBWD6	1494	1905	2142	2263
CBX1	441	553	634	649
CBX2	245	289	351	346
CBX3	2834	3145	4008	3972
CBX4	173	222	204	177
CBX5	515	743	956	918
CBX6	368	465	545	541
CBX8	121	150	157	156
CBY1	153	213	248	229
CC2D1A	248	356	462	405
CC2D1B	382	476	542	519
CC2D2A	201	292	293	294
CCAR1	3128	3975	4270	4007
CCBL1	57	90	103	83
CCBL2	599	827	827	769
CCDC101	170	211	202	220
CCDC102A	75	76	102	120
CCDC103	32	29	32	34
CCDC104	553	671	690	596
CCDC106	65	111	94	107
CCDC107	70	101	77	84
CCDC109B	320	449	436	364
CCDC111	138	186	208	165
CCDC112	247	254	306	259
CCDC113	59	64	78	73
CCDC115	65	68	86	88
CCDC117	348	487	570	628
CCDC12	259	375	443	434
CCDC121	46	48	59	45
CCDC122	62	75	84	82
CCDC124	342	469	524	575
CCDC125	205	235	293	268
CCDC126	43	61	83	72
CCDC127	125	148	196	169
CCDC130	114	111	124	149
CCDC132	645	831	868	797
CCDC134	146	158	220	182
CCDC136	98	158	233	196
CCDC137	256	278	340	367
CCDC138	1088	1396	1581	1463
CCDC14	1327	1639	1725	1606
CCDC142	143	195	228	211
CCDC144A	113	167	195	165
CCDC146	43	42	73	57
CCDC15	194	248	347	314
CCDC150	636	764	946	867
CCDC157	44	64	52	49
CCDC167	173	237	311	315
CCDC168	31	58	52	40
CCDC171	105	136	158	136
CCDC174	223	292	386	310
CCDC176	34	51	64	44
CCDC18	926	1418	1602	1575
CCDC180	128	185	263	196
CCDC181	235	286	332	326
CCDC22	217	302	347	303
CCDC23	63	91	62	77
CCDC25	153	184	168	177
CCDC28A	165	175	193	227
CCDC28B	113	129	136	127
CCDC3	32	23	41	27
CCDC34	358	397	491	440
CCDC40	62	60	93	85
CCDC41	487	667	900	795
CCDC43	487	589	698	661
CCDC47	1745	2052	2623	2552
CCDC50	205	300	318	302
CCDC51	469	521	601	630
CCDC53	126	159	146	102
CCDC57	208	295	368	362
CCDC58	492	623	587	603
CCDC59	726	861	825	754
CCDC6	222	302	462	405
CCDC61	30	30	27	26
CCDC64	20	36	33	33
CCDC66	931	1194	1351	1120
CCDC69	25	32	32	44
CCDC7	22	34	30	30
CCDC71	302	336	420	390
CCDC74A	106	125	120	121
CCDC74B	83	103	91	87
CCDC77	292	372	430	393
CCDC8	243	301	359	373
CCDC80	32	30	37	30
CCDC82	227	327	416	402
CCDC84	87	117	130	125
CCDC85B	79	108	177	183
CCDC85C	110	130	205	217
CCDC86	538	675	907	865
CCDC88A	1519	2182	2844	2629
CCDC88C	159	252	334	317
CCDC9	39	76	79	85
CCDC90B	309	393	349	346
CCDC91	297	358	443	421
CCDC92	48	51	122	92
CCDC93	456	643	810	747
CCDC94	267	325	255	274
CCDC97	67	85	151	112
CCHCR1	364	466	504	501
CCM2	159	204	232	193
CCNA2	2320	2881	2933	2789
CCNB1	4831	5600	5792	5618
CCNB1IP1	505	544	527	408
CCNB2	1074	1403	1309	1166
CCNB3	35	43	63	34
CCNC	984	1146	1158	1070
CCND1	76	126	118	131
CCND2	220	284	356	361
CCND3	171	196	185	176
CCNDBP1	292	359	388	357
CCNE1	354	384	455	396
CCNE2	467	579	558	451
CCNF	772	965	1092	1037
CCNG1	2363	2971	3302	3073
CCNG2	163	212	292	296
CCNH	710	888	1045	941
CCNI	1229	1512	2339	2031
CCNJ	277	378	369	313
CCNK	170	235	408	329
CCNL1	809	967	894	756
CCNL2	847	1126	1261	1217
CCNT1	748	896	787	688
CCNT2	582	806	743	623
CCNY	291	369	346	355
CCNYL1	51	68	99	118
CCP110	762	1028	1366	1251
CCPG1	447	513	555	481
CCRN4L	206	319	298	230
CCS	134	169	143	156
CCSAP	175	222	266	256
CCSER1	194	232	240	228
CCSER2	396	526	653	625
CCT2	9518	11673	11751	11156
CCT3	13986	17092	16312	14958
CCT4	11666	14219	14477	13543
CCT5	8705	10679	10200	9505
CCT6A	8334	10610	10500	9756
CCT7	10234	12629	13048	13084
CCT8	8223	10307	11202	10771
CCZ1	1293	1656	1567	1425
CCZ1B	1255	1610	1546	1410
CD101	42	51	73	79
CD109	212	312	465	380
CD151	457	552	500	349
CD164	582	754	676	608
CD276	273	362	447	407
CD2AP	857	1149	1236	1225
CD2BP2	822	1041	1089	1152
CD320	548	600	779	668
CD3EAP	459	584	659	638
CD46	783	1023	1182	1097
CD47	550	684	708	680
CD55	469	646	714	636
CD58	61	100	83	51
CD59	331	423	418	380
CD63	1063	1240	1313	1390
CD81	795	993	1158	1005
CD83	42	40	42	43
CD9	179	189	163	175
CD97	26	38	83	43
CD99	718	904	1054	1006
CD99L2	181	276	289	256
CDADC1	117	145	150	151
CDAN1	153	182	221	193
CDC123	2121	2594	2273	1985
CDC14A	44	97	92	56
CDC14B	221	321	403	347
CDC16	583	750	995	938
CDC20	2219	2768	3051	2781
CDC23	1021	1214	1354	1250
CDC25A	1379	1669	1589	1497
CDC25B	152	192	321	271
CDC25C	308	396	446	363
CDC26	204	256	268	237
CDC27	2169	2629	2478	2068
CDC34	342	485	446	440
CDC37	2276	2983	2792	2833
CDC37L1	103	110	125	132
CDC40	630	826	970	882
CDC42	1995	2359	2411	2300
CDC42BPA	2312	3007	3697	3597
CDC42BPB	866	1162	1777	1622
CDC42EP1	178	241	289	235
CDC42EP2	40	63	68	54
CDC42EP3	31	47	51	33
CDC42EP4	82	88	103	99
CDC42SE1	154	202	215	186
CDC42SE2	26	49	50	47
CDC45	1457	1892	1864	1771
CDC5L	3126	3978	4036	3867
CDC6	1679	2028	1972	1760
CDC7	1466	1868	1933	1803
CDC73	736	1027	1258	1254
CDCA2	943	1211	1337	1330
CDCA3	297	444	453	407
CDCA4	284	381	390	380
CDCA5	273	342	343	336
CDCA7	744	961	1009	1059
CDCA7L	527	675	756	708
CDCA8	438	514	481	451
CDH2	491	579	638	569
CDH23	36	43	48	43
CDH24	34	54	49	40
CDHR1	15	38	45	27
CDIP1	46	75	78	80
CDIPT	207	276	200	167
CDK1	2053	2474	2429	2070
CDK10	143	168	217	189
CDK11B	542	822	769	728
CDK12	1706	2064	2717	2291
CDK13	1170	1473	1810	1553
CDK14	149	192	227	211
CDK16	1590	2175	2067	1665
CDK17	306	338	369	357
CDK18	19	32	36	31
CDK19	67	87	105	85
CDK2	727	924	766	805
CDK20	50	48	72	69
CDK2AP1	200	269	350	325
CDK2AP2	48	55	66	74
CDK3	27	38	36	31
CDK4	1866	2135	2146	2030
CDK5	296	360	333	310
CDK5R1	25	30	31	17
CDK5RAP1	516	620	716	636
CDK5RAP2	1513	2030	2534	2327
CDK5RAP3	668	946	962	997
CDK6	145	223	216	203
CDK7	359	439	444	418
CDK8	262	314	342	296
CDK9	219	254	311	275
CDKAL1	655	820	931	917
CDKL1	44	41	55	55
CDKL2	28	35	44	45
CDKL5	68	107	105	101
CDKN1A	49	70	63	77
CDKN1B	115	191	170	162
CDKN2A	302	365	594	606
CDKN2AIP	286	396	339	246
CDKN2AIPNL	60	87	124	82
CDKN2B	40	40	56	51
CDKN2C	255	309	340	313
CDKN3	369	481	461	395
CDON	336	465	552	420
CDR2	243	286	374	335
CDR2L	76	93	140	151
CDRT4	39	58	40	47
CDS1	145	183	223	181
CDS2	481	571	560	482
CDT1	458	565	721	633
CDV3	745	998	949	936
CDX2	88	75	109	86
CDYL	642	784	735	650
CEBPA	15	20	36	39
CEBPB	30	37	47	35
CEBPG	289	333	381	347
CEBPZ	3056	3677	4127	3887
CECR2	237	327	397	388
CECR5	762	966	937	873
CELF1	842	1244	1393	1220
CELF2	60	82	93	90
CELSR1	284	357	655	527
CELSR2	207	280	550	396
CELSR3	655	916	1147	904
CENPA	73	112	83	102
CENPB	741	873	1018	1042
CENPC1	901	1038	1222	1030
CENPE	2663	5121	5476	5382
CENPF	11435	16480	17931	17450
CENPH	569	690	796	822
CENPI	853	1076	1188	1104
CENPJ	722	959	1034	986
CENPK	332	397	436	440
CENPL	253	299	290	256
CENPM	178	211	289	283
CENPN	508	681	738	721
CENPO	246	313	399	339
CENPP	162	201	221	211
CENPQ	213	263	292	310
CENPT	477	602	566	529
CENPV	656	787	802	749
CENPW	408	556	661	673
CEP104	501	653	746	751
CEP112	208	293	440	415
CEP120	459	513	622	584
CEP128	556	728	833	818
CEP135	808	1014	1214	1203
CEP152	901	1244	1497	1425
CEP164	517	684	796	775
CEP170	2118	2934	3283	2962
CEP170B	375	422	613	522
CEP19	19	31	27	44
CEP192	1468	1864	2183	1970
CEP250	995	1337	1802	1702
CEP290	1251	2141	2319	2418
CEP350	3279	4104	4902	4440
CEP41	104	108	131	114
CEP44	259	344	399	419
CEP55	830	1087	1108	954
CEP57	791	998	1064	1007
CEP57L1	233	309	353	264
CEP63	173	245	260	213
CEP68	200	289	346	285
CEP70	302	405	440	410
CEP72	243	277	418	353
CEP76	202	270	291	300
CEP78	1052	1361	1580	1469
CEP85	733	864	1028	911
CEP85L	362	502	524	475
CEP89	114	143	154	142
CEP95	580	747	972	892
CEP97	675	788	898	821
CEPT1	573	683	615	482
CERCAM	230	297	350	346
CERK	594	733	664	575
CERS1	66	60	66	54
CERS2	837	1076	957	766
CERS4	69	64	78	80
CERS5	146	168	237	172
CERS6	330	403	506	428
CES2	255	346	383	356
CES3	85	118	120	106
CETN2	318	482	517	507
CETN3	279	341	388	380
CFD	17	35	52	41
CFDP1	869	1129	1040	1059
CFL1	3600	4595	4898	4974
CFL2	254	344	373	376
CFLAR	109	176	215	188
CGGBP1	436	583	568	517
CGN	213	290	342	284
CGNL1	29	52	56	30
CGRRF1	164	190	179	169
CHAC2	222	289	322	324
CHAF1A	1434	1838	2147	2120
CHAF1B	757	1024	1051	930
CHAMP1	161	213	353	337
CHCHD1	154	204	278	273
CHCHD10	55	77	93	74
CHCHD2	2090	2387	2400	2078
CHCHD3	833	1030	1249	1302
CHCHD4	238	306	300	280
CHCHD5	52	71	80	52
CHCHD6	183	225	240	222
CHCHD7	317	422	464	473
CHD1	3137	4159	4379	4217
CHD1L	2045	2494	2993	2737
CHD2	1373	1727	2082	2004
CHD3	1422	1954	2231	2105
CHD4	6273	8170	9749	9242
CHD6	1421	1957	2184	1969
CHD7	1544	2125	2887	2516
CHD8	3375	4297	5319	4665
CHD9	1513	1930	2307	1996
CHDH	175	229	210	186
CHEK1	851	1058	1135	1043
CHEK2	596	790	759	743
CHERP	138	209	423	297
CHFR	95	120	197	158
CHIC1	24	40	44	39
CHIC2	79	99	105	121
CHID1	431	550	558	528
CHKA	211	273	290	280
CHKB	200	223	268	245
CHM	359	429	452	417
CHML	915	1159	1160	1131
CHMP1A	320	357	414	423
CHMP1B	175	229	245	263
CHMP2A	286	425	443	440
CHMP2B	615	733	696	674
CHMP4B	284	394	564	549
CHMP4C	31	35	30	37
CHMP5	727	927	1069	1149
CHMP6	82	105	108	96
CHMP7	258	334	426	360
CHN1	295	362	366	359
CHN2	58	35	58	44
CHORDC1	909	1294	1301	1241
CHP1	127	149	144	133
CHPF	143	188	250	236
CHPF2	244	326	333	299
CHPT1	648	712	821	736
CHRAC1	65	102	95	91
CHRFAM7A	51	61	79	67
CHRNA5	643	769	863	772
CHRNA7	54	67	85	77
CHST10	261	303	296	259
CHST11	58	67	56	59
CHST12	78	109	152	148
CHST14	49	47	87	67
CHST15	68	96	96	93
CHST2	37	35	57	50
CHST3	21	30	38	38
CHST7	29	32	52	36
CHSY1	651	777	881	899
CHSY3	103	116	138	104
CHTF18	585	796	765	683
CHTF8	90	151	145	99
CHTOP	621	850	872	925
CHUK	1363	1713	1969	1827
CHURC1-FNTB	311	459	576	527
CIAO1	736	912	921	916
CIAPIN1	687	819	869	885
CIB1	265	324	349	280
CIB2	62	68	61	48
CIC	231	328	536	416
CILP2	28	51	65	54
CINP	272	439	478	443
CIR1	280	366	349	340
CIRBP	535	747	650	656
CIRH1A	653	868	1139	1027
CISD1	132	159	160	139
CISD2	364	474	545	487
CISD3	28	49	28	19
CIT	717	927	1343	1244
CITED1	147	144	123	127
CITED2	60	93	62	60
CIZ1	795	1010	1225	1036
CKAP2	2483	3315	3763	3508
CKAP2L	522	696	824	722
CKAP4	620	809	856	737
CKAP5	7116	8840	9923	9372
CKB	3943	5667	4488	3790
CKMT1A	854	1139	1297	1308
CKMT1B	870	1159	1293	1308
CKS1B	398	519	503	514
CKS2	759	937	953	771
CLASP1	818	1015	1378	1195
CLASP2	2097	2696	2854	2520
CLASRP	234	312	332	285
CLCC1	792	1014	1210	1138
CLCN2	54	71	79	92
CLCN3	852	1208	1116	1044
CLCN5	231	251	302	263
CLCN6	100	154	220	188
CLCN7	325	352	454	309
CLDN12	105	139	139	111
CLDN15	30	30	38	40
CLDND1	499	724	682	600
CLEC16A	247	341	443	424
CLGN	450	507	522	566
CLHC1	52	64	81	73
CLIC1	1492	1857	1810	1729
CLIC4	567	647	736	707
CLINT1	1301	1585	1469	1318
CLIP1	800	991	1215	1096
CLIP2	25	36	60	44
CLIP4	221	277	351	311
CLK1	806	1023	1103	1150
CLK2	505	686	763	654
CLK3	402	504	528	477
CLK4	244	338	404	433
CLMN	87	119	143	151
CLN3	165	208	155	134
CLN5	193	259	266	229
CLN6	340	461	378	288
CLN8	65	50	78	63
CLNS1A	1468	1829	2205	2139
CLOCK	327	344	394	317
CLP1	309	372	366	323
CLPB	1106	1267	1507	1366
CLPP	400	516	449	414
CLPTM1	594	837	863	767
CLPTM1L	1454	1858	1822	1800
CLPX	663	795	924	856
CLSPN	2012	2580	3141	2929
CLSTN1	682	904	1341	1209
CLSTN3	129	130	173	127
CLTA	1104	1323	1633	1538
CLTB	427	544	540	566
CLTC	11650	14597	17455	15697
CLTCL1	417	587	700	616
CLU	98	113	109	104
CLUAP1	221	310	278	293
CLUH	1075	1580	1900	1629
CLYBL	38	57	71	47
CMAS	657	848	1044	1104
CMBL	67	86	160	142
CMC1	136	206	183	191
CMC2	113	152	129	166
CMC4	86	151	135	153
CMIP	58	81	172	151
CMPK1	401	562	650	599
CMSS1	1044	1217	1343	1195
CMTM3	36	36	30	34
CMTM4	77	106	129	128
