	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
BEND3	79	78	116	194
BEND4	86	79	97	141
BEND7	28	52	66	81
BET1	179	189	241	294
BET1L	44	49	69	71
BEX1	396	496	620	1021
BEX2	328	410	497	850
BEX4	177	212	247	465
BEX5	4	5	7	5
BFAR	208	241	290	470
BFSP1	23	17	41	50
BHLHB9	40	56	76	86
BHLHE40	158	152	197	258
BICC1	139	145	190	208
BICD1	86	78	127	164
BICD2	239	243	383	541
BID	311	388	559	791
BIN1	20	13	23	32
BIN3	67	84	96	152
BIRC2	106	171	194	249
BIRC5	437	442	661	916
BIRC6	1854	1951	2093	2806
BIVM-ERCC5	259	272	304	417
BLCAP	98	109	134	210
BLM	356	441	444	592
BLMH	763	856	1059	1592
BLOC1S1	266	279	413	616
BLOC1S2	245	287	313	405
BLOC1S4	81	112	160	223
BLOC1S6	63	104	132	158
BLVRA	684	747	971	1243
BLVRB	443	404	588	767
BLZF1	257	340	390	534
BMP1	69	68	96	111
BMP2K	151	132	187	282
BMP4	18	36	39	46
BMP6	39	51	63	80
BMP7	159	200	267	383
BMP8B	27	35	47	68
BMPR1A	264	260	275	404
BMPR1B	60	62	80	75
BMPR2	229	304	332	405
BMS1	1534	1719	2013	2921
BNC2	31	40	51	85
BNIP1	137	174	218	275
BNIP2	391	421	493	774
BNIP3	214	216	258	403
BNIP3L	289	285	436	623
BOC	14	23	21	34
BOD1	132	122	175	250
BOD1L1	662	785	806	1110
BOLA1	27	10	50	55
BOLA2	1416	1694	2164	3522
BOLA3	241	302	249	426
BOP1	1560	1675	2159	3414
BORA	108	157	196	239
BPGM	84	83	106	156
BPHL	160	142	190	275
BPNT1	336	430	592	737
BPTF	1043	1186	1401	1799
BRAF	177	226	256	445
BRAP	297	315	426	601
BRAT1	362	372	487	725
BRCA1	452	549	765	904
BRCA2	569	659	780	962
BRCC3	309	328	486	621
BRD1	261	278	351	605
BRD2	2468	2671	3591	5002
BRD3	376	337	485	780
BRD4	700	881	1084	1514
BRD7	274	297	403	546
BRD8	517	595	686	1071
BRD9	188	175	236	307
BRE	201	210	285	367
BRF1	185	209	249	380
BRF2	159	171	186	336
BRI3	146	148	205	348
BRI3BP	268	260	365	603
BRIP1	454	506	726	926
BRIX1	1359	1566	1927	2675
BRK1	307	380	516	697
BRMS1	91	102	161	266
BRMS1L	183	199	246	345
BROX	310	381	495	576
BRPF1	196	165	253	388
BRPF3	141	156	180	309
BRSK1	23	9	13	30
BRSK2	91	89	99	159
BRWD1	270	297	356	498
BRWD3	239	276	350	439
BSCL2	133	123	162	216
BSDC1	229	220	324	382
BSG	3066	3333	3976	6444
BSN	69	37	37	59
BTAF1	731	780	1028	1389
BTBD1	422	440	605	717
BTBD10	136	185	195	226
BTBD11	39	54	54	89
BTBD2	258	259	323	420
BTBD3	241	292	366	579
BTBD6	75	88	121	158
BTBD7	130	118	164	234
BTBD8	19	28	39	38
BTBD9	127	139	205	272
BTD	83	97	88	126
BTF3	5331	6221	7216	9621
BTF3L4	962	1186	1352	1911
BTG1	246	286	353	501
BTG3	416	488	529	768
BTN2A1	160	160	179	273
BTN2A2	105	111	124	170
BTN3A1	32	33	61	61
BTN3A2	50	44	75	75
BTN3A3	48	47	75	75
BTRC	246	283	344	408
BUB1	1293	1503	1808	2272
BUB1B	1200	1378	1660	2205
BUB3	2275	2578	3134	4410
BUD13	126	143	154	222
BUD31	371	385	492	718
BVES	86	103	114	172
BYSL	742	815	1056	1414
BZW1	1988	2325	2769	3652
BZW2	601	702	792	1176
C10orf118	147	219	288	332
C10orf12	282	357	436	560
C10orf137	479	581	737	1124
C10orf2	243	285	326	450
C10orf32	131	130	177	229
C10orf76	309	399	453	581
C10orf88	165	161	198	296
C11orf1	32	46	56	79
C11orf24	43	70	70	126
C11orf30	110	164	177	244
C11orf31	52	61	78	149
C11orf48	86	97	133	178
C11orf49	178	170	268	312
C11orf54	74	85	104	157
C11orf57	96	132	166	184
C11orf58	1272	1484	1706	2373
C11orf63	31	35	36	49
C11orf68	52	59	70	109
C11orf73	189	205	315	355
C11orf74	86	123	136	165
C11orf80	19	14	29	36
C11orf82	100	104	156	160
C11orf83	44	60	53	167
C11orf84	142	140	177	310
C11orf95	18	21	21	51
C12orf10	301	420	535	795
C12orf23	168	153	205	319
C12orf29	465	502	643	803
C12orf4	414	471	527	696
C12orf43	110	111	136	226
C12orf44	129	164	205	294
C12orf45	193	275	357	425
C12orf49	58	53	57	82
C12orf5	305	419	424	601
C12orf52	30	42	57	66
C12orf57	459	486	667	1016
C12orf60	12	16	26	35
C12orf65	59	54	97	136
C12orf66	56	60	62	123
C12orf73	40	56	67	86
C12orf75	80	86	101	142
C14orf1	134	154	205	327
C14orf119	167	182	238	396
C14orf142	50	42	72	124
C14orf159	82	98	115	163
C14orf166	1421	1575	2030	2345
C14orf2	845	831	931	1490
C14orf28	0	0	1	1
C14orf37	70	59	96	118
C14orf79	22	19	28	45
C14orf80	102	84	132	222
C14orf93	14	21	17	37
C15orf27	4	10	12	5
C15orf38-AP3S2	206	221	299	464
C15orf39	361	339	436	685
C15orf40	62	91	95	129
C15orf41	109	136	146	217
C15orf57	72	126	141	193
C15orf59	5	2	1	5
C15orf61	98	121	156	213
C16orf13	263	284	396	535
C16orf55	14	11	21	34
C16orf58	124	119	145	212
C16orf59	117	118	185	218
C16orf62	259	267	347	459
C16orf70	110	123	166	227
C16orf72	188	186	263	359
C16orf80	360	432	595	683
C16orf87	122	175	252	270
C16orf91	32	42	31	91
C16orf93	41	35	47	79
C16orf95	10	7	13	19
C17orf104	9	9	21	13
C17orf51	106	134	169	278
C17orf53	114	130	166	209
C17orf58	22	50	45	67
C17orf59	16	20	55	68
C17orf62	69	51	74	122
C17orf70	82	58	95	142
C17orf75	103	139	204	245
C17orf80	198	183	300	382
C17orf85	488	539	675	983
C17orf89	89	108	152	258
C18orf21	173	179	230	311
C18orf25	197	228	264	374
C18orf32	87	146	163	209
C18orf54	16	30	25	28
C18orf8	225	259	312	411
C19orf10	341	340	443	736
C19orf12	77	94	121	206
C19orf24	78	117	142	259
C19orf25	33	39	45	97
C19orf40	72	103	97	139
C19orf43	484	491	671	983
C19orf44	60	62	97	115
C19orf47	226	229	334	432
C19orf48	6	8	16	20
C19orf52	160	147	259	418
C19orf53	461	542	660	1030
C19orf54	212	233	314	445
C19orf55	157	167	234	366
C19orf57	27	30	42	49
C19orf60	70	110	143	216
C19orf70	364	352	438	711
C1D	245	335	347	445
C1GALT1	61	79	75	107
C1GALT1C1	322	438	460	636
C1QBP	7421	7881	9966	14242
C1orf101	0	2	2	3
C1orf109	132	154	199	296
C1orf112	406	505	598	857
C1orf122	101	117	140	298
C1orf123	198	220	219	335
C1orf131	253	290	355	462
C1orf159	33	58	48	69
C1orf174	158	163	211	318
C1orf198	147	156	253	381
C1orf21	13	18	33	40
C1orf216	13	29	22	52
C1orf27	107	151	165	251
C1orf35	125	140	156	297
C1orf43	461	486	664	826
C1orf50	47	60	93	100
C1orf52	166	183	243	420
C1orf56	30	45	48	85
C1orf63	30	40	52	100
C1orf74	17	14	35	35
C1orf85	278	263	323	424
C1orf86	57	77	74	130
C20orf194	68	69	89	104
C20orf27	360	389	487	814
C20orf96	62	63	83	121
C21orf2	37	19	28	52
C21orf33	789	777	1013	1477
C21orf58	7	9	0	11
C21orf59	829	821	1003	1621
C21orf91	54	85	124	152
C22orf29	105	119	148	210
C22orf39	54	69	92	152
C22orf46	10	9	14	22
C2CD2L	54	41	65	104
C2CD3	135	117	191	216
C2CD5	272	282	400	502
C2orf42	19	24	25	40
C2orf43	86	94	136	162
C2orf44	183	213	313	360
C2orf47	218	243	309	462
C2orf49	125	191	227	279
C2orf68	24	28	39	36
C2orf69	100	128	163	221
C2orf74	12	15	18	18
C2orf76	39	59	67	80
C3orf14	69	86	117	125
C3orf17	166	224	260	356
C3orf33	32	54	64	78
C3orf37	649	804	1053	1388
C3orf38	148	148	216	308
C3orf52	39	42	55	59
C3orf58	118	139	174	265
C3orf62	5	1	1	0
C3orf67	4	10	16	11
C4B_2	17	12	12	16
C4orf21	133	156	186	217
C4orf27	333	340	452	593
C4orf29	72	82	127	184
C4orf3	110	138	148	281
C4orf32	95	77	138	157
C4orf33	29	32	58	58
C4orf46	56	49	70	84
C5	3	1	2	4
C5orf15	872	1073	1180	1647
C5orf22	479	564	662	794
C5orf24	278	345	395	670
C5orf28	32	26	33	59
C5orf30	124	133	168	235
C5orf34	217	270	327	457
C5orf42	445	487	578	779
C5orf45	32	40	57	63
C5orf51	331	380	459	614
C5orf54	44	86	105	179
C6orf106	199	229	284	431
C6orf120	154	160	245	315
C6orf136	106	115	138	254
C6orf163	0	0	0	2
C6orf170	150	174	181	282
C6orf203	112	127	168	224
C6orf211	756	956	1122	1441
C6orf47	46	51	77	124
C6orf48	6	6	10	4
C6orf57	56	63	81	103
C6orf62	44	44	63	88
C6orf70	105	96	129	174
C6orf89	228	236	277	398
C7orf10	11	20	24	24
C7orf25	81	93	160	187
C7orf26	53	57	90	143
C7orf31	7	17	12	16
C7orf41	47	43	71	75
C7orf43	57	69	84	114
C7orf49	116	104	136	217
C7orf50	208	243	337	579
C7orf55-LUC7L2	1562	1906	2393	3347
C7orf60	92	124	158	174
C7orf63	20	29	29	37
C7orf73	129	135	189	288
C8orf33	227	282	336	577
C8orf34	32	31	46	68
C8orf47	63	66	65	109
C8orf59	305	429	525	605
C8orf76	129	135	175	214
C8orf82	64	88	86	144
C9orf114	183	220	321	456
C9orf123	170	172	234	346
C9orf129	55	62	88	126
C9orf142	104	149	194	288
C9orf156	74	89	114	145
C9orf16	47	57	86	124
C9orf3	29	22	36	80
C9orf37	8	16	13	25
C9orf40	131	139	232	325
C9orf41	167	197	291	396
C9orf64	223	270	296	466
C9orf69	25	31	36	58
C9orf72	61	72	99	105
C9orf78	314	318	429	610
C9orf85	27	53	62	111
C9orf89	32	42	67	82
C9orf9	17	22	28	54
C9orf91	20	27	33	56
CA11	9	8	17	21
CA2	502	450	583	852
CA5B	57	71	62	132
CA8	98	111	158	220
CAAP1	207	204	235	315
CAB39	420	579	720	931
CAB39L	2	11	12	18
CABIN1	431	424	517	815
CABLES1	72	67	102	119
CABLES2	35	47	71	106
CACHD1	277	270	358	518
CACNA1B	10	11	12	19
CACNA1C	14	12	10	16
CACNA1D	13	6	4	18
CACNA1H	11	10	18	19
CACNA2D1	274	264	303	359
CACNA2D2	63	71	69	89
CACNA2D3	25	24	28	27
CACNB2	23	27	32	54
CACNB3	18	23	27	37
CACNB4	14	20	31	23
CACTIN	79	83	98	207
CACUL1	171	201	259	326
CACYBP	1452	1677	1955	2861
CAD	1706	1823	2156	3376
CADM1	882	1078	1134	1598
CADM4	145	174	201	275
CADPS2	279	334	359	447
CALCOCO1	144	192	240	371
CALCOCO2	533	640	813	1110
CALD1	603	659	908	1224
CALM1	1442	1737	2041	3104
CALM2	1877	2157	2278	4099
CALM3	892	916	1221	2009
CALML4	8	6	13	18
CALR	7890	8772	9512	14672
CALU	1241	1409	1525	2591
CAMK1	437	459	613	762
CAMK2D	254	240	309	381
CAMK2G	154	172	231	278
CAMK4	119	125	176	224
CAMKK1	119	118	139	173
CAMKK2	155	131	161	226
CAMKMT	52	51	82	111
CAMKV	24	19	27	39
CAMLG	188	265	296	412
CAMSAP1	234	232	288	458
CAMSAP2	188	199	230	333
CAMSAP3	183	152	246	375
CAMTA1	243	283	382	522
CAMTA2	107	110	118	190
CAND1	4280	5038	5862	7688
CAND2	215	218	277	379
CANT1	75	74	121	177
CANX	6625	6507	7099	10428
CAP1	2327	2599	3262	4596
CAP2	213	197	280	382
CAPG	8	9	15	13
CAPN1	637	638	894	1275
CAPN10	41	33	47	73
CAPN2	655	669	828	1223
CAPN7	651	740	910	1182
CAPNS1	3055	3294	4071	5676
CAPRIN1	3172	4156	4809	6725
CAPRIN2	107	112	131	192
CAPZA1	1444	1754	2183	2810
CAPZA2	1339	1566	1826	2436
CAPZB	1520	1571	2038	2946
CARD10	102	114	167	197
CARD8	31	25	35	67
CARHSP1	151	158	217	250
CARKD	70	62	70	112
CARM1	773	830	1169	1534
CARS	438	447	657	768
CARS2	450	456	656	853
CASC3	350	445	494	699
CASC4	189	282	265	365
CASC5	671	834	780	1187
CASD1	38	47	56	74
CASK	740	823	939	1216
CASKIN1	20	20	26	27
CASKIN2	125	105	161	242
CASP2	352	381	477	788
CASP3	343	374	439	674
CASP6	229	246	299	383
CASP7	244	258	378	481
CASP8	325	408	500	700
CASP8AP2	402	478	585	707
CASP9	92	99	111	155
CAST	918	1093	1364	1806
CASZ1	52	67	66	153
CAT	345	370	460	627
CATSPER2	1	4	5	6
CAV1	221	213	361	446
CAV2	119	95	163	202
CBFA2T2	104	93	116	185
CBFB	328	330	457	632
CBL	213	229	294	444
CBLB	51	66	68	112
CBLL1	160	256	293	450
CBR1	720	737	1091	1622
CBR3	179	187	240	359
CBR4	311	304	339	480
CBS	559	559	758	1042
CBWD1	424	466	550	662
CBWD2	418	464	533	621
CBWD3	828	905	1094	1223
CBWD6	369	399	495	554
CBX1	499	554	752	1104
CBX2	112	94	179	245
CBX3	2087	2198	2599	3840
CBX4	116	116	165	285
CBX5	662	777	1017	1428
CBX6	485	613	742	1239
CBX8	43	75	92	113
CBY1	108	87	135	204
CC2D1A	449	481	549	847
CC2D1B	174	198	214	394
CC2D2A	91	87	100	155
CCAR1	1314	1479	1615	2236
CCBL1	70	83	114	123
CCBL2	577	675	815	925
CCDC101	60	64	88	112
CCDC102A	22	23	54	67
CCDC103	24	31	32	37
CCDC104	246	254	336	391
CCDC106	57	61	64	101
CCDC107	28	17	36	45
CCDC109B	238	251	336	412
CCDC111	103	122	133	155
CCDC112	188	195	272	313
CCDC113	38	34	51	75
CCDC115	74	71	92	144
CCDC117	242	241	282	448
CCDC12	131	132	167	267
CCDC121	10	17	17	26
CCDC122	36	55	73	70
CCDC124	569	588	804	1291
CCDC125	61	105	112	148
CCDC126	17	17	38	50
CCDC127	164	159	214	279
CCDC130	67	88	115	143
CCDC132	407	454	577	668
CCDC134	86	93	152	227
CCDC136	68	97	101	146
CCDC137	155	182	290	371
CCDC138	310	405	485	597
CCDC14	247	318	317	409
CCDC142	26	23	26	36
CCDC144A	32	15	21	24
CCDC146	2	3	1	4
CCDC15	78	85	123	140
CCDC150	12	11	17	24
CCDC157	8	7	11	15
CCDC167	154	148	211	249
CCDC168	1	1	1	1
CCDC171	26	23	26	39
CCDC174	98	98	112	198
CCDC176	3	7	3	5
CCDC18	143	185	191	299
CCDC180	12	8	10	11
CCDC181	53	54	92	90
CCDC22	219	273	340	545
CCDC23	35	46	34	70
CCDC25	295	323	409	510
CCDC28A	148	162	236	292
CCDC28B	106	112	161	208
CCDC3	60	80	94	127
CCDC34	125	153	208	303
CCDC40	16	13	13	22
CCDC41	132	151	196	229
CCDC43	218	194	235	398
CCDC47	1384	1440	1646	2535
CCDC50	306	328	477	630
CCDC51	187	223	290	447
CCDC53	105	109	137	170
CCDC57	29	30	27	36
CCDC58	227	262	337	542
CCDC59	442	553	704	852
CCDC6	367	426	600	813
CCDC61	17	18	26	46
CCDC64	9	12	9	14
CCDC66	70	88	110	132
CCDC69	12	19	18	18
CCDC7	0	17	10	11
CCDC71	129	142	185	262
CCDC74A	34	33	47	55
CCDC74B	33	28	48	59
CCDC77	131	154	215	302
CCDC8	113	130	186	261
CCDC80	19	16	33	27
CCDC82	188	212	252	389
CCDC84	33	20	24	30
CCDC85B	87	98	108	215
CCDC85C	125	148	197	302
CCDC86	410	507	737	996
CCDC88A	381	430	551	634
CCDC88C	178	172	231	299
CCDC9	35	45	84	113
CCDC90B	77	90	108	138
CCDC91	202	277	306	388
CCDC92	39	47	68	71
CCDC93	150	196	219	330
CCDC94	146	155	219	345
CCDC97	179	197	261	443
CCHCR1	180	215	265	358
CCM2	58	55	67	97
CCNA2	1510	1803	2226	2812
CCNB1	2922	3416	3825	5473
CCNB1IP1	41	41	63	55
CCNB2	1303	1535	1923	2215
CCNB3	13	10	17	19
CCNC	423	527	641	833
CCND1	479	527	763	1062
CCND2	704	799	1091	1544
CCND3	203	226	360	520
CCNDBP1	347	348	454	635
CCNE1	347	387	439	676
CCNE2	189	268	299	374
CCNF	357	383	483	727
CCNG1	1428	1677	1829	2413
CCNG2	60	81	98	108
CCNH	540	623	820	961
CCNI	559	569	738	854
CCNJ	91	102	170	206
CCNK	396	472	558	877
CCNL1	80	96	131	174
CCNL2	150	114	172	279
CCNT1	448	545	740	1078
CCNT2	145	199	190	226
CCNY	98	133	145	183
CCNYL1	100	105	141	190
CCP110	238	254	288	364
CCPG1	501	609	582	786
CCRN4L	247	269	334	483
CCS	92	106	142	215
CCSAP	155	149	202	316
CCSER1	14	24	21	37
CCSER2	119	120	149	213
CCT2	8119	9183	10754	15557
CCT3	8760	9607	11963	16155
CCT4	7421	8364	9798	13401
CCT5	7873	8510	10455	15069
CCT6A	4976	5250	6435	8727
CCT7	8370	9043	10617	16065
CCT8	8122	9043	10933	14974
CCZ1	687	737	935	1117
CCZ1B	682	732	923	1099
CD101	2	2	0	2
CD109	312	349	363	433
CD151	1220	1166	1703	2520
CD164	947	1189	1345	1797
CD276	724	640	793	1153
CD2AP	712	800	1028	1385
CD2BP2	311	331	418	695
CD320	801	816	925	1489
CD3EAP	131	179	246	326
CD46	406	540	501	800
CD47	421	455	498	639
CD55	312	324	299	408
CD58	96	123	126	182
CD59	383	487	616	862
CD63	1843	1793	2024	3305
CD81	1782	1814	2192	3337
CD83	21	45	35	44
CD9	883	1015	1175	1943
CD97	804	813	918	1284
CD99	734	774	782	1246
CD99L2	181	159	210	302
CDADC1	27	21	38	56
CDAN1	97	116	140	232
CDC123	1630	1974	2431	2973
CDC14A	84	98	153	180
CDC14B	65	82	92	96
CDC16	662	728	869	1125
CDC20	2198	2586	3167	5069
CDC23	1006	1108	1236	1828
CDC25A	620	628	866	1250
CDC25B	918	995	1125	1815
CDC25C	272	347	406	560
CDC26	52	64	80	133
CDC27	1314	1515	1781	2470
CDC34	187	203	325	501
CDC37	1908	2107	2736	4248
CDC37L1	73	74	92	112
CDC40	441	534	661	881
CDC42	2596	2913	3604	5323
CDC42BPA	320	321	391	430
CDC42BPB	402	399	500	633
CDC42EP1	165	163	251	403
CDC42EP2	12	14	16	43
CDC42EP3	33	33	60	78
CDC42EP4	100	125	167	239
CDC42SE1	97	76	91	198
CDC42SE2	65	65	71	134
CDC45	698	751	924	1225
CDC5L	1617	1910	2223	2998
CDC6	683	803	906	1426
CDC7	728	1003	1270	1594
CDC73	385	528	555	779
CDCA2	669	774	791	1218
CDCA3	522	584	825	1120
CDCA4	283	344	446	641
CDCA5	188	269	327	521
CDCA7	413	471	628	1020
CDCA7L	377	459	559	658
CDCA8	432	526	565	943
CDH2	1085	1196	1180	1736
CDH23	20	21	24	39
CDH24	27	15	21	26
CDHR1	49	40	71	63
CDIP1	176	207	281	419
CDIPT	252	228	351	489
CDK1	2472	3075	3782	4922
CDK10	12	30	37	37
CDK11B	521	584	671	1156
CDK12	679	737	912	1344
CDK13	303	295	351	537
CDK14	58	90	101	132
CDK16	118	114	162	217
CDK17	267	311	409	519
CDK18	37	49	61	49
CDK19	48	61	63	117
CDK2	664	717	930	1324
CDK20	47	50	62	100
CDK2AP1	264	362	428	685
CDK2AP2	84	99	136	190
CDK3	0	0	4	2
CDK4	1060	1157	1494	2139
CDK5	292	323	353	545
CDK5R1	23	30	25	35
CDK5RAP1	306	307	420	524
CDK5RAP2	561	629	656	908
CDK5RAP3	332	345	392	638
CDK6	321	339	468	620
CDK7	257	270	347	481
CDK8	162	206	241	326
CDK9	302	336	381	567
CDKAL1	294	328	399	551
CDKL1	25	26	33	37
CDKL2	60	49	60	89
CDKL5	29	26	35	38
CDKN1A	278	271	307	546
CDKN1B	191	183	245	400
CDKN2A	1452	1511	1951	3537
CDKN2AIP	164	180	227	345
CDKN2AIPNL	359	517	551	876
CDKN2B	119	105	179	321
CDKN2C	197	184	177	282
CDKN3	287	310	384	470
CDON	99	121	137	164
CDR2	167	189	242	323
CDR2L	33	41	57	74
CDRT4	1	3	2	2
CDS1	132	145	171	211
CDS2	297	364	371	552
CDT1	766	895	1248	1933
CDV3	516	599	792	1130
CDX2	113	111	154	302
CDYL	231	213	301	411
CEBPA	176	246	328	439
CEBPB	76	74	138	165
CEBPG	400	512	725	791
CEBPZ	761	844	1127	1392
CECR2	155	128	209	259
CECR5	346	367	478	686
CELF1	795	824	1193	1601
CELF2	358	377	461	644
CELSR1	192	145	199	265
CELSR2	340	289	326	414
CELSR3	89	90	126	162
CENPA	42	68	100	121
CENPB	162	208	239	352
CENPC1	200	215	266	351
CENPE	1261	1579	1574	2266
CENPF	2647	2942	3284	4457
CENPH	432	511	631	768
CENPI	224	257	294	452
CENPJ	336	438	481	619
CENPK	204	273	320	380
CENPL	53	72	92	124
CENPM	328	360	451	704
CENPN	146	159	203	274
CENPO	83	106	149	207
CENPP	62	70	86	129
CENPQ	211	241	293	327
CENPT	174	182	266	446
CENPV	227	284	365	492
CENPW	446	670	796	1112
CEP104	244	209	289	405
CEP112	92	103	131	150
CEP120	178	223	242	362
CEP128	50	72	96	111
CEP135	287	341	371	462
CEP152	169	212	232	269
CEP164	97	96	110	151
CEP170	575	690	853	1105
CEP170B	300	256	315	485
CEP19	15	14	20	25
CEP192	586	686	664	922
CEP250	224	225	236	342
CEP290	374	451	518	542
CEP350	333	380	431	579
CEP41	146	213	257	302
CEP44	104	142	158	192
CEP55	580	651	848	982
CEP57	226	294	359	497
CEP57L1	139	168	235	308
CEP63	69	91	89	114
CEP68	104	115	153	233
CEP70	63	57	113	106
CEP72	118	140	150	240
CEP76	217	250	320	434
CEP78	348	365	392	565
CEP85	274	325	350	632
CEP85L	117	169	174	189
CEP89	314	374	392	530
CEP95	110	149	142	222
CEP97	263	246	371	462
CEPT1	350	447	557	790
CERCAM	171	181	219	284
CERK	171	184	227	320
CERS1	146	153	200	319
CERS2	1053	1057	1241	2051
CERS4	91	131	150	241
CERS5	279	283	326	472
CERS6	312	355	405	624
CES2	25	25	27	48
CES3	35	37	40	86
CETN2	365	371	403	733
CETN3	345	344	407	599
CFD	18	27	37	45
CFDP1	249	271	370	532
CFL1	2859	3359	4612	7214
CFL2	590	676	759	1066
CFLAR	56	71	69	114
CGGBP1	223	248	367	483
CGN	73	91	110	131
CGNL1	74	64	83	104
CGRRF1	59	68	78	108
CHAC2	172	205	252	381
CHAF1A	556	656	801	1210
CHAF1B	626	785	911	1266
CHAMP1	502	572	640	939
CHCHD1	530	517	665	964
CHCHD10	314	332	535	698
CHCHD2	2527	2931	3644	5681
CHCHD3	728	819	1009	1465
CHCHD4	164	194	254	392
CHCHD5	93	92	135	194
CHCHD6	122	103	162	223
CHCHD7	107	121	175	203
CHD1	928	1161	1420	1836
CHD1L	544	549	601	831
CHD2	177	196	216	370
CHD3	400	370	437	601
CHD4	3856	4095	4934	7162
CHD6	331	329	353	563
CHD7	424	474	572	775
CHD8	980	1013	1270	1797
CHD9	234	206	312	401
CHDH	83	74	112	175
CHEK1	424	521	544	748
CHEK2	455	539	732	803
CHERP	996	1193	1447	2444
CHFR	107	103	109	160
CHIC1	15	17	26	49
CHIC2	72	83	83	101
CHID1	397	375	499	707
CHKA	164	220	266	304
CHKB	29	30	26	39
CHM	146	192	239	357
CHML	184	192	271	322
CHMP1A	340	346	475	664
CHMP1B	218	257	304	466
CHMP2A	395	428	557	833
CHMP2B	455	458	554	712
CHMP4B	493	507	588	844
CHMP4C	89	93	104	119
CHMP5	722	868	1119	1443
CHMP6	51	68	95	117
CHMP7	207	240	326	414
CHN1	92	109	146	190
CHN2	13	10	20	23
CHORDC1	424	577	871	1268
CHP1	178	229	257	438
CHPF	204	258	267	460
CHPF2	144	145	125	257
CHPT1	354	382	458	640
CHRAC1	108	144	172	237
CHRFAM7A	44	40	62	74
CHRNA5	210	221	240	304
CHRNA7	61	48	79	87
CHST10	97	88	101	153
CHST11	163	201	234	340
CHST12	114	91	107	183
CHST14	187	186	241	402
CHST15	47	48	66	82
CHST2	4	2	0	1
CHST3	46	50	66	74
CHST7	33	22	68	89
CHSY1	65	57	84	106
CHSY3	81	63	66	109
CHTF18	172	147	204	300
CHTF8	67	90	97	138
CHTOP	580	711	833	1355
CHUK	392	467	468	676
CHURC1-FNTB	325	359	445	737
CIAO1	527	566	790	1043
CIAPIN1	518	670	762	1082
CIB1	222	253	315	480
CIB2	12	6	10	13
CIC	163	145	156	279
CILP2	101	105	94	193
CINP	250	290	336	445
CIR1	148	201	237	360
CIRBP	276	244	235	501
CIRH1A	803	977	1207	1632
CISD1	287	386	466	678
CISD2	427	472	607	772
CISD3	69	101	120	163
CIT	594	660	750	1020
CITED1	28	34	46	67
CITED2	175	214	292	474
CIZ1	424	560	637	1021
CKAP2	2212	2832	3072	4218
CKAP2L	215	311	346	474
CKAP4	974	1010	1096	1736
CKAP5	3962	4346	5057	6655
CKB	11251	11787	15594	23210
CKMT1A	826	864	1077	1554
CKMT1B	825	867	1073	1554
CKS1B	373	447	562	777
CKS2	625	751	1097	1474
CLASP1	371	427	492	627
CLASP2	491	526	635	884
CLASRP	155	151	206	311
CLCC1	447	488	515	767
CLCN2	43	40	34	39
CLCN3	274	271	315	463
CLCN5	70	66	77	141
CLCN6	52	38	42	61
CLCN7	191	177	244	406
CLDN12	118	126	156	208
CLDN15	6	2	4	1
CLDND1	264	267	303	326
CLEC16A	80	104	82	167
CLGN	220	238	272	346
CLHC1	6	2	8	15
CLIC1	1189	1288	1753	2484
CLIC4	1226	1298	1589	2000
CLINT1	1317	1550	1730	2517
CLIP1	392	368	501	692
CLIP2	13	18	22	22
CLIP4	78	73	91	112
CLK1	131	187	233	321
CLK2	122	161	187	252
CLK3	275	302	395	577
CLK4	59	89	122	159
CLMN	80	102	123	128
CLN3	107	115	141	243
CLN5	101	109	133	207
CLN6	292	322	406	620
CLN8	45	38	55	81
CLNS1A	1295	1452	1762	2237
CLOCK	48	76	81	113
CLP1	155	145	180	295
CLPB	426	410	643	829
CLPP	539	584	857	1264
CLPTM1	861	814	963	1496
CLPTM1L	607	618	705	1148
CLPX	567	650	840	941
CLSPN	1052	1230	1465	2127
CLSTN1	1202	1196	1366	2129
CLSTN3	241	263	262	332
CLTA	894	1101	1329	1932
CLTB	286	281	427	721
CLTC	11491	13168	14815	20957
CLTCL1	152	159	173	252
CLU	1021	1082	1428	1785
CLUAP1	128	176	174	230
CLUH	1366	1345	1872	2886
CLYBL	20	32	20	40
CMAS	638	741	828	1065
CMBL	678	698	944	1230
CMC1	174	154	166	244
CMC2	60	73	84	144
CMC4	27	48	53	65
CMIP	202	200	298	335
CMPK1	727	746	914	1303
CMSS1	297	312	444	504
CMTM3	47	48	86	125
CMTM4	62	49	77	95
CMTM6	325	349	423	569
CMTM7	72	87	89	173
CMTM8	86	75	101	194
CMYA5	2	1	1	3
CNBP	2205	2460	2967	4303
CNDP2	488	510	619	1003
CNEP1R1	20	24	38	53
CNIH	497	571	635	1026
CNIH4	643	689	875	1064
CNN2	446	497	678	1009
CNN3	1641	2038	2660	3324
CNNM1	145	132	162	275
CNNM2	89	82	97	151
CNNM3	130	133	211	289
CNNM4	100	130	132	207
CNOT1	2399	2460	3116	4141
CNOT10	576	695	770	1037
CNOT11	382	478	699	862
CNOT2	477	552	620	860
CNOT3	531	636	727	1061
CNOT4	149	186	235	348
CNOT6	207	282	332	408
CNOT6L	144	187	201	247
CNOT7	237	253	332	354
CNOT8	293	334	383	582
CNP	561	594	792	1263
CNPPD1	177	182	217	439
CNPY2	580	677	781	1132
CNPY3	144	152	216	275
CNPY4	47	40	38	63
