	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
BET1	163	107	241	294
BET1L	21	26	69	71
BEX1	384	257	620	1021
BEX2	294	208	497	850
BEX4	141	91	247	465
BEX5	5	2	7	5
BFAR	158	104	290	470
BFSP1	24	15	41	50
BHLHB9	38	35	76	86
BHLHE40	133	94	197	258
BICC1	91	69	190	208
BICD1	39	36	127	164
BICD2	162	129	383	541
BID	310	244	559	791
BIN1	6	13	23	32
BIN3	60	58	96	152
BIRC2	88	64	194	249
BIRC5	325	312	661	916
BIRC6	1482	1045	2093	2806
BIVM-ERCC5	184	143	304	417
BLCAP	61	42	134	210
BLM	255	188	444	592
BLMH	481	396	1059	1592
BLOC1S1	254	177	413	616
BLOC1S2	184	109	313	405
BLOC1S4	94	55	160	223
BLOC1S6	67	51	132	158
BLVRA	479	302	971	1243
BLVRB	281	208	588	767
BLZF1	247	193	390	534
BMP1	35	24	96	111
BMP2K	96	59	187	282
BMP4	28	13	39	46
BMP6	20	11	63	80
BMP7	111	81	267	383
BMP8B	25	12	47	68
BMPR1A	133	77	275	404
BMPR1B	27	23	80	75
BMPR2	165	128	332	405
BMS1	1262	904	2013	2921
BNC2	42	17	51	85
BNIP1	105	82	218	275
BNIP2	297	238	493	774
BNIP3	103	96	258	403
BNIP3L	203	147	436	623
BOC	18	9	21	34
BOD1	55	48	175	250
BOD1L1	508	371	806	1110
BOLA1	9	13	50	55
BOLA2	1536	1036	2164	3522
BOLA3	166	140	249	426
BOP1	1156	825	2159	3414
BORA	86	68	196	239
BPGM	68	58	106	156
BPHL	110	64	190	275
BPNT1	290	250	592	737
BPTF	844	654	1401	1799
BRAF	143	85	256	445
BRAP	256	166	426	601
BRAT1	289	190	487	725
BRCA1	411	306	765	904
BRCA2	434	379	780	962
BRCC3	234	149	486	621
BRD1	209	150	351	605
BRD2	2101	1478	3591	5002
BRD3	220	168	485	780
BRD4	551	322	1084	1514
BRD7	139	131	403	546
BRD8	440	331	686	1071
BRD9	145	113	236	307
BRE	134	113	285	367
BRF1	121	106	249	380
BRF2	176	119	186	336
BRI3	94	88	205	348
BRI3BP	154	105	365	603
BRIP1	388	274	726	926
BRIX1	1038	845	1927	2675
BRK1	238	169	516	697
BRMS1	67	51	161	266
BRMS1L	132	108	246	345
BROX	217	153	495	576
BRPF1	116	85	253	388
BRPF3	87	69	180	309
BRSK1	6	4	13	30
BRSK2	46	19	99	159
BRWD1	218	149	356	498
BRWD3	169	122	350	439
BSCL2	117	71	162	216
BSDC1	186	143	324	382
BSG	1943	1262	3976	6444
BSN	32	4	37	59
BTAF1	569	422	1028	1389
BTBD1	221	169	605	717
BTBD10	82	64	195	226
BTBD11	31	21	54	89
BTBD2	113	58	323	420
BTBD3	213	128	366	579
BTBD6	44	44	121	158
BTBD7	120	74	164	234
BTBD8	13	12	39	38
BTBD9	101	79	205	272
BTD	56	37	88	126
BTF3	3400	2648	7216	9621
BTF3L4	741	513	1352	1911
BTG1	184	173	353	501
BTG3	231	203	529	768
BTN2A1	131	75	179	273
BTN2A2	89	54	124	170
BTN3A1	44	17	61	61
BTN3A2	39	20	75	75
BTN3A3	42	18	75	75
BTRC	185	104	344	408
BUB1	1063	799	1808	2272
BUB1B	1036	769	1660	2205
BUB3	1713	1222	3134	4410
BUD13	97	65	154	222
BUD31	276	225	492	718
BVES	59	32	114	172
BYSL	584	400	1056	1414
BZW1	1265	983	2769	3652
BZW2	357	243	792	1176
C10orf118	106	91	288	332
C10orf12	230	173	436	560
C10orf137	356	285	737	1124
C10orf2	237	175	326	450
C10orf32	109	64	177	229
C10orf76	243	198	453	581
C10orf88	105	79	198	296
C11orf1	41	20	56	79
C11orf24	31	22	70	126
C11orf30	144	75	177	244
C11orf31	47	35	78	149
C11orf48	89	65	133	178
C11orf49	141	100	268	312
C11orf54	83	69	104	157
C11orf57	94	80	166	184
C11orf58	925	608	1706	2373
C11orf63	12	16	36	49
C11orf68	59	23	70	109
C11orf73	120	96	315	355
C11orf74	64	50	136	165
C11orf80	17	19	29	36
C11orf82	94	68	156	160
C11orf83	58	30	53	167
C11orf84	63	57	177	310
C11orf95	14	14	21	51
C12orf10	273	206	535	795
C12orf23	119	79	205	319
C12orf29	359	246	643	803
C12orf4	249	200	527	696
C12orf43	99	72	136	226
C12orf44	88	69	205	294
C12orf45	158	95	357	425
C12orf49	33	15	57	82
C12orf5	222	206	424	601
C12orf52	31	24	57	66
C12orf57	315	228	667	1016
C12orf60	14	9	26	35
C12orf65	46	41	97	136
C12orf66	48	55	62	123
C12orf73	44	34	67	86
C12orf75	55	52	101	142
C14orf1	143	74	205	327
C14orf119	164	118	238	396
C14orf142	45	27	72	124
C14orf159	64	54	115	163
C14orf166	808	645	2030	2345
C14orf2	630	546	931	1490
C14orf28	1	0	1	1
C14orf37	49	24	96	118
C14orf79	26	13	28	45
C14orf80	79	60	132	222
C14orf93	14	8	17	37
C15orf27	1	3	12	5
C15orf38-AP3S2	142	106	299	464
C15orf39	318	195	436	685
C15orf40	59	45	95	129
C15orf41	67	48	146	217
C15orf57	73	62	141	193
C15orf59	1	1	1	5
C15orf61	82	66	156	213
C16orf13	207	150	396	535
C16orf55	9	12	21	34
C16orf58	73	75	145	212
C16orf59	95	61	185	218
C16orf62	179	177	347	459
C16orf70	84	59	166	227
C16orf72	125	76	263	359
C16orf80	304	240	595	683
C16orf87	95	64	252	270
C16orf91	32	25	31	91
C16orf93	17	18	47	79
C16orf95	7	6	13	19
C17orf104	6	6	21	13
C17orf51	83	78	169	278
C17orf53	92	61	166	209
C17orf58	36	24	45	67
C17orf59	20	16	55	68
C17orf62	57	25	74	122
C17orf70	50	28	95	142
C17orf75	88	69	204	245
C17orf80	132	94	300	382
C17orf85	342	234	675	983
C17orf89	97	67	152	258
C18orf21	136	86	230	311
C18orf25	154	126	264	374
C18orf32	85	62	163	209
C18orf54	23	14	25	28
C18orf8	206	145	312	411
C19orf10	221	144	443	736
C19orf12	95	73	121	206
C19orf24	114	77	142	259
C19orf25	30	20	45	97
C19orf40	65	61	97	139
C19orf43	335	265	671	983
C19orf44	47	36	97	115
C19orf47	184	146	334	432
C19orf48	48	36	16	20
C19orf52	145	89	259	418
C19orf53	348	234	660	1030
C19orf54	167	110	314	445
C19orf55	139	111	234	366
C19orf57	21	21	42	49
C19orf60	113	61	143	216
C19orf70	222	202	438	711
C1D	174	139	347	445
C1GALT1	50	31	75	107
C1GALT1C1	232	156	460	636
C1QBP	4936	3516	9966	14242
C1orf101	1	2	2	3
C1orf109	122	85	199	296
C1orf112	330	261	598	857
C1orf122	118	66	140	298
C1orf123	133	73	219	335
C1orf131	201	136	355	462
C1orf159	27	31	48	69
C1orf174	125	80	211	318
C1orf198	122	95	253	381
C1orf21	21	11	33	40
C1orf216	20	17	22	52
C1orf27	97	74	165	251
C1orf35	139	101	156	297
C1orf43	303	199	664	826
C1orf50	44	25	93	100
C1orf52	129	104	243	420
C1orf56	28	11	48	85
C1orf63	32	20	52	100
C1orf74	15	9	35	35
C1orf85	151	102	323	424
C1orf86	38	19	74	130
C20orf194	43	29	89	104
C20orf27	233	186	487	814
C20orf96	38	47	83	121
C21orf2	21	15	28	52
C21orf33	490	316	1013	1477
C21orf58	6	3	0	11
C21orf59	584	437	1003	1621
C21orf91	59	54	124	152
C22orf29	103	72	148	210
C22orf39	53	47	92	152
C22orf46	13	10	14	22
C2CD2L	29	21	65	104
C2CD3	87	47	191	216
C2CD5	175	139	400	502
C2orf42	30	12	25	40
C2orf43	53	45	136	162
C2orf44	174	134	313	360
C2orf47	179	139	309	462
C2orf49	107	75	227	279
C2orf68	19	15	39	36
C2orf69	67	62	163	221
C2orf74	14	4	18	18
C2orf76	26	18	67	80
C3orf14	49	52	117	125
C3orf17	166	103	260	356
C3orf33	24	17	64	78
C3orf37	478	417	1053	1388
C3orf38	150	112	216	308
C3orf52	44	28	55	59
C3orf58	105	67	174	265
C3orf62	2	0	1	0
C3orf67	3	3	16	11
C4B_2	9	2	12	16
C4orf21	129	109	186	217
C4orf27	196	184	452	593
C4orf29	71	52	127	184
C4orf3	126	61	148	281
C4orf32	60	46	138	157
C4orf33	25	24	58	58
C4orf46	43	22	70	84
C5	0	0	2	4
C5orf15	554	360	1180	1647
C5orf22	330	216	662	794
C5orf24	266	166	395	670
C5orf28	23	19	33	59
C5orf30	116	69	168	235
C5orf34	169	143	327	457
C5orf42	308	216	578	779
C5orf45	23	28	57	63
C5orf51	239	174	459	614
C5orf54	64	42	105	179
C6orf106	136	101	284	431
C6orf120	124	77	245	315
C6orf136	74	51	138	254
C6orf163	1	1	0	2
C6orf170	118	101	181	282
C6orf203	84	74	168	224
C6orf211	590	419	1122	1441
C6orf47	43	29	77	124
C6orf48	3	4	10	4
C6orf57	40	22	81	103
C6orf62	40	26	63	88
C6orf70	81	48	129	174
C6orf89	138	115	277	398
C7orf10	12	8	24	24
C7orf25	59	63	160	187
C7orf26	51	32	90	143
C7orf31	18	12	12	16
C7orf41	39	20	71	75
C7orf43	59	27	84	114
C7orf49	74	68	136	217
C7orf50	202	136	337	579
C7orf55-LUC7L2	1362	1096	2393	3347
C7orf60	56	44	158	174
C7orf63	15	12	29	37
C7orf73	95	105	189	288
C8orf33	217	126	336	577
C8orf34	20	17	46	68
C8orf47	33	35	65	109
C8orf59	216	205	525	605
C8orf76	95	46	175	214
C8orf82	41	44	86	144
C9orf114	196	123	321	456
C9orf123	128	101	234	346
C9orf129	37	29	88	126
C9orf142	100	65	194	288
C9orf156	75	46	114	145
C9orf16	30	28	86	124
C9orf3	31	15	36	80
C9orf37	5	6	13	25
C9orf40	118	95	232	325
C9orf41	143	114	291	396
C9orf64	166	116	296	466
C9orf69	31	15	36	58
C9orf72	40	44	99	105
C9orf78	222	152	429	610
C9orf85	37	45	62	111
C9orf89	35	20	67	82
C9orf9	16	13	28	54
C9orf91	24	8	33	56
CA11	6	4	17	21
CA2	280	207	583	852
CA5B	60	47	62	132
CA8	84	55	158	220
CAAP1	134	84	235	315
CAB39	360	259	720	931
CAB39L	4	6	12	18
CABIN1	321	200	517	815
CABLES1	52	26	102	119
CABLES2	24	16	71	106
CACHD1	221	141	358	518
CACNA1B	10	6	12	19
CACNA1C	5	6	10	16
CACNA1D	3	4	4	18
CACNA1H	3	7	18	19
CACNA2D1	125	84	303	359
CACNA2D2	36	30	69	89
CACNA2D3	3	9	28	27
CACNB2	19	12	32	54
CACNB3	24	10	27	37
CACNB4	7	7	31	23
CACTIN	60	41	98	207
CACUL1	130	110	259	326
CACYBP	996	720	1955	2861
CAD	1207	788	2156	3376
CADM1	531	333	1134	1598
CADM4	86	71	201	275
CADPS2	205	135	359	447
CALCOCO1	179	100	240	371
CALCOCO2	423	298	813	1110
CALD1	408	272	908	1224
CALM1	1104	764	2041	3104
CALM2	1512	974	2278	4099
CALM3	625	440	1221	2009
CALML4	4	5	13	18
CALR	5057	3055	9512	14672
CALU	870	502	1525	2591
CAMK1	262	204	613	762
CAMK2D	163	113	309	381
CAMK2G	105	67	231	278
CAMK4	73	48	176	224
CAMKK1	82	41	139	173
CAMKK2	84	49	161	226
CAMKMT	42	23	82	111
CAMKV	10	9	27	39
CAMLG	133	78	296	412
CAMSAP1	122	107	288	458
CAMSAP2	137	83	230	333
CAMSAP3	150	94	246	375
CAMTA1	199	167	382	522
CAMTA2	62	42	118	190
CAND1	3295	2497	5862	7688
CAND2	149	104	277	379
CANT1	65	41	121	177
CANX	3256	2051	7099	10428
CAP1	1655	1199	3262	4596
CAP2	154	110	280	382
CAPG	11	5	15	13
CAPN1	403	282	894	1275
CAPN10	26	14	47	73
CAPN2	359	288	828	1223
CAPN7	417	333	910	1182
CAPNS1	2075	1432	4071	5676
CAPRIN1	2612	1947	4809	6725
CAPRIN2	77	46	131	192
CAPZA1	1037	849	2183	2810
CAPZA2	910	716	1826	2436
CAPZB	892	689	2038	2946
CARD10	79	69	167	197
CARD8	27	10	35	67
CARHSP1	118	64	217	250
CARKD	60	34	70	112
CARM1	493	359	1169	1534
CARS	353	230	657	768
CARS2	308	239	656	853
CASC3	281	220	494	699
CASC4	130	83	265	365
CASC5	680	523	780	1187
CASD1	26	25	56	74
CASK	405	325	939	1216
CASKIN1	12	4	26	27
CASKIN2	61	45	161	242
CASP2	296	217	477	788
CASP3	248	171	439	674
CASP6	146	110	299	383
CASP7	199	126	378	481
CASP8	329	206	500	700
CASP8AP2	285	232	585	707
CASP9	60	46	111	155
CAST	561	409	1364	1806
CASZ1	48	31	66	153
CAT	230	162	460	627
CATSPER2	0	0	5	6
CAV1	183	115	361	446
CAV2	77	50	163	202
CBFA2T2	89	45	116	185
CBFB	225	135	457	632
CBL	124	92	294	444
CBLB	36	34	68	112
CBLL1	212	166	293	450
CBR1	517	360	1091	1622
CBR3	111	78	240	359
CBR4	245	149	339	480
CBS	321	260	758	1042
CBWD1	338	251	550	662
CBWD2	319	241	533	621
CBWD3	661	479	1094	1223
CBWD6	288	209	495	554
CBX1	327	261	752	1104
CBX2	81	65	179	245
CBX3	1363	1032	2599	3840
CBX4	103	83	165	285
CBX5	453	370	1017	1428
CBX6	395	293	742	1239
CBX8	55	43	92	113
CBY1	88	70	135	204
CC2D1A	313	232	549	847
CC2D1B	141	98	214	394
CC2D2A	84	63	100	155
CCAR1	1034	745	1615	2236
CCBL1	47	39	114	123
CCBL2	351	280	815	925
CCDC101	71	41	88	112
CCDC102A	33	22	54	67
CCDC103	16	19	32	37
CCDC104	155	126	336	391
CCDC106	26	25	64	101
CCDC107	22	11	36	45
CCDC109B	128	99	336	412
CCDC111	72	27	133	155
CCDC112	113	110	272	313
CCDC113	26	23	51	75
CCDC115	46	36	92	144
CCDC117	163	137	282	448
CCDC12	117	76	167	267
CCDC121	17	13	17	26
CCDC122	30	35	73	70
CCDC124	440	288	804	1291
CCDC125	73	52	112	148
CCDC126	14	11	38	50
CCDC127	109	62	214	279
CCDC130	54	45	115	143
CCDC132	258	203	577	668
CCDC134	76	50	152	227
CCDC136	49	37	101	146
CCDC137	168	89	290	371
CCDC138	278	195	485	597
CCDC14	190	127	317	409
CCDC142	24	9	26	36
CCDC144A	18	10	21	24
CCDC146	0	1	1	4
CCDC15	65	48	123	140
CCDC150	25	14	17	24
CCDC157	4	0	11	15
CCDC167	107	81	211	249
CCDC168	3	1	1	1
CCDC171	15	8	26	39
CCDC174	88	42	112	198
CCDC176	3	2	3	5
CCDC18	117	102	191	299
CCDC180	8	4	10	11
CCDC181	31	20	92	90
CCDC22	205	138	340	545
CCDC23	21	15	34	70
CCDC25	193	150	409	510
CCDC28A	137	91	236	292
CCDC28B	86	52	161	208
CCDC3	48	36	94	127
CCDC34	125	94	208	303
CCDC40	6	5	13	22
CCDC41	54	60	196	229
CCDC43	133	90	235	398
CCDC47	920	587	1646	2535
CCDC50	226	167	477	630
CCDC51	186	134	290	447
CCDC53	76	43	137	170
CCDC57	15	11	27	36
CCDC58	229	153	337	542
CCDC59	329	291	704	852
CCDC6	218	156	600	813
CCDC61	12	8	26	46
CCDC64	2	5	9	14
CCDC66	75	57	110	132
CCDC69	5	4	18	18
CCDC7	6	6	10	11
CCDC71	126	86	185	262
CCDC74A	15	11	47	55
CCDC74B	12	10	48	59
CCDC77	141	97	215	302
CCDC8	92	64	186	261
CCDC80	9	8	33	27
CCDC82	147	110	252	389
CCDC84	15	13	24	30
CCDC85B	65	64	108	215
CCDC85C	108	59	197	302
CCDC86	453	297	737	996
CCDC88A	209	201	551	634
CCDC88C	108	69	231	299
CCDC9	48	37	84	113
CCDC90B	52	52	108	138
CCDC91	157	111	306	388
CCDC92	24	18	68	71
CCDC93	128	100	219	330
CCDC94	162	113	219	345
CCDC97	152	126	261	443
CCHCR1	169	128	265	358
CCM2	23	24	67	97
CCNA2	1263	938	2226	2812
CCNB1	2383	1686	3825	5473
CCNB1IP1	48	35	63	55
CCNB2	1004	736	1923	2215
CCNB3	10	4	17	19
CCNC	401	278	641	833
CCND1	335	245	763	1062
CCND2	587	368	1091	1544
CCND3	145	99	360	520
CCNDBP1	238	152	454	635
CCNE1	177	157	439	676
CCNE2	150	118	299	374
CCNF	259	180	483	727
CCNG1	613	499	1829	2413
CCNG2	22	20	98	108
CCNH	357	278	820	961
CCNI	232	168	738	854
CCNJ	71	33	170	206
CCNK	277	194	558	877
CCNL1	68	65	131	174
CCNL2	89	62	172	279
CCNT1	482	316	740	1078
CCNT2	128	129	190	226
CCNY	63	37	145	183
CCNYL1	82	61	141	190
CCP110	156	114	288	364
CCPG1	335	222	582	786
CCRN4L	197	159	334	483
CCS	53	48	142	215
CCSAP	127	108	202	316
CCSER1	15	14	21	37
CCSER2	66	42	149	213
CCT2	5603	4073	10754	15557
CCT3	5937	4524	11963	16155
CCT4	5251	3698	9798	13401
CCT5	5528	3905	10455	15069
CCT6A	3122	2234	6435	8727
CCT7	5712	3913	10617	16065
CCT8	5547	3979	10933	14974
CCZ1	408	331	935	1117
CCZ1B	405	329	923	1099
CD101	1	1	0	2
CD109	166	109	363	433
CD151	777	478	1703	2520
CD164	719	476	1345	1797
CD276	376	199	793	1153
CD2AP	466	326	1028	1385
CD2BP2	270	190	418	695
CD320	524	299	925	1489
CD3EAP	125	89	246	326
CD46	298	185	501	800
CD47	233	155	498	639
CD55	130	95	299	408
CD58	55	49	126	182
CD59	325	197	616	862
CD63	1186	740	2024	3305
CD81	1122	708	2192	3337
CD83	22	8	35	44
CD9	664	430	1175	1943
CD97	474	257	918	1284
CD99	452	270	782	1246
CD99L2	102	70	210	302
CDADC1	36	20	38	56
CDAN1	91	61	140	232
CDC123	1049	840	2431	2973
CDC14A	72	68	153	180
CDC14B	33	25	92	96
CDC16	418	287	869	1125
CDC20	1765	1289	3167	5069
CDC23	852	567	1236	1828
CDC25A	437	295	866	1250
CDC25B	599	376	1125	1815
CDC25C	244	176	406	560
CDC26	40	34	80	133
CDC27	1011	789	1781	2470
CDC34	141	99	325	501
CDC37	1488	953	2736	4248
CDC37L1	46	27	92	112
CDC40	326	250	661	881
CDC42	2012	1551	3604	5323
CDC42BPA	199	195	391	430
CDC42BPB	177	154	500	633
CDC42EP1	105	87	251	403
CDC42EP2	21	8	16	43
CDC42EP3	32	22	60	78
CDC42EP4	77	57	167	239
CDC42SE1	61	56	91	198
CDC42SE2	43	33	71	134
CDC45	503	329	924	1225
CDC5L	1482	1075	2223	2998
CDC6	585	429	906	1426
CDC7	667	468	1270	1594
CDC73	361	255	555	779
CDCA2	528	408	791	1218
CDCA3	512	327	825	1120
CDCA4	244	155	446	641
CDCA5	157	139	327	521
CDCA7	315	243	628	1020
CDCA7L	253	187	559	658
CDCA8	398	291	565	943
CDH2	601	385	1180	1736
CDH23	10	3	24	39
CDH24	7	5	21	26
CDHR1	33	22	71	63
CDIP1	136	84	281	419
CDIPT	167	110	351	489
CDK1	1964	1679	3782	4922
CDK10	23	13	37	37
CDK11B	459	289	671	1156
CDK12	563	439	912	1344
CDK13	186	113	351	537
CDK14	37	31	101	132
CDK16	125	54	162	217
CDK17	184	157	409	519
CDK18	25	10	61	49
CDK19	28	37	63	117
CDK2	542	469	930	1324
CDK20	34	21	62	100
CDK2AP1	226	154	428	685
CDK2AP2	81	50	136	190
CDK3	0	2	4	2
CDK4	705	457	1494	2139
CDK5	192	122	353	545
CDK5R1	10	10	25	35
CDK5RAP1	264	166	420	524
CDK5RAP2	375	266	656	908
CDK5RAP3	251	158	392	638
CDK6	225	175	468	620
CDK7	153	146	347	481
CDK8	122	107	241	326
CDK9	245	146	381	567
CDKAL1	191	144	399	551
CDKL1	17	10	33	37
CDKL2	34	33	60	89
CDKL5	22	14	35	38
CDKN1A	231	160	307	546
CDKN1B	163	103	245	400
CDKN2A	1238	758	1951	3537
CDKN2AIP	153	112	227	345
CDKN2AIPNL	323	210	551	876
CDKN2B	121	57	179	321
CDKN2C	160	107	177	282
CDKN3	183	117	384	470
CDON	66	39	137	164
CDR2	111	92	242	323
CDR2L	18	11	57	74
CDRT4	1	1	2	2
CDS1	88	45	171	211
CDS2	185	138	371	552
CDT1	637	460	1248	1933
CDV3	375	314	792	1130
CDX2	102	93	154	302
CDYL	130	90	301	411
CEBPA	176	101	328	439
CEBPB	52	54	138	165
CEBPG	325	279	725	791
CEBPZ	611	433	1127	1392
CECR2	90	69	209	259
CECR5	241	176	478	686
CELF1	606	410	1193	1601
CELF2	240	157	461	644
CELSR1	119	66	199	265
CELSR2	188	109	326	414
CELSR3	64	45	126	162
CENPA	58	52	100	121
CENPB	138	99	239	352
CENPC1	165	135	266	351
CENPE	954	776	1574	2266
CENPF	2015	1648	3284	4457
CENPH	337	234	631	768
CENPI	188	151	294	452
CENPJ	284	242	481	619
CENPK	156	116	320	380
CENPL	57	27	92	124
CENPM	309	187	451	704
CENPN	160	93	203	274
CENPO	107	73	149	207
CENPP	38	41	86	129
CENPQ	161	131	293	327
CENPT	170	102	266	446
CENPV	159	135	365	492
CENPW	435	324	796	1112
CEP104	165	104	289	405
CEP112	44	53	131	150
CEP120	122	100	242	362
CEP128	40	32	96	111
CEP135	169	142	371	462
CEP152	127	100	232	269
CEP164	59	39	110	151
CEP170	452	325	853	1105
CEP170B	168	85	315	485
CEP19	5	9	20	25
CEP192	398	311	664	922
CEP250	141	103	236	342
CEP290	272	217	518	542
CEP350	268	191	431	579
CEP41	140	120	257	302
CEP44	106	81	158	192
CEP55	381	319	848	982
CEP57	186	155	359	497
CEP57L1	90	85	235	308
CEP63	49	40	89	114
CEP68	86	71	153	233
CEP70	44	32	113	106
CEP72	97	74	150	240
CEP76	167	134	320	434
CEP78	238	159	392	565
CEP85	235	173	350	632
CEP85L	74	61	174	189
CEP89	249	184	392	530
CEP95	96	55	142	222
CEP97	164	142	371	462
CEPT1	283	214	557	790
CERCAM	96	69	219	284
CERK	106	76	227	320
CERS1	81	56	200	319
CERS2	531	388	1241	2051
CERS4	56	49	150	241
CERS5	208	146	326	472
CERS6	212	171	405	624
CES2	20	21	27	48
CES3	28	14	40	86
CETN2	241	178	403	733
CETN3	226	156	407	599
CFD	20	21	37	45
CFDP1	153	125	370	532
CFL1	2347	1621	4612	7214
CFL2	429	270	759	1066
CFLAR	62	33	69	114
CGGBP1	172	94	367	483
CGN	65	49	110	131
CGNL1	68	35	83	104
CGRRF1	32	39	78	108
CHAC2	132	113	252	381
CHAF1A	472	355	801	1210
CHAF1B	420	348	911	1266
CHAMP1	415	284	640	939
CHCHD1	437	275	665	964
CHCHD10	202	130	535	698
CHCHD2	1912	1270	3644	5681
CHCHD3	452	319	1009	1465
CHCHD4	129	116	254	392
CHCHD5	62	42	135	194
CHCHD6	60	49	162	223
CHCHD7	87	62	175	203
CHD1	667	562	1420	1836
CHD1L	332	227	601	831
CHD2	127	96	216	370
CHD3	259	186	437	601
CHD4	2728	1970	4934	7162
CHD6	216	145	353	563
CHD7	352	203	572	775
CHD8	833	627	1270	1797
CHD9	200	152	312	401
CHDH	67	46	112	175
CHEK1	353	256	544	748
CHEK2	330	236	732	803
CHERP	994	695	1447	2444
CHFR	87	48	109	160
CHIC1	13	12	26	49
CHIC2	42	22	83	101
CHID1	233	132	499	707
CHKA	109	84	266	304
CHKB	17	14	26	39
CHM	161	92	239	357
CHML	147	93	271	322
CHMP1A	210	152	475	664
CHMP1B	178	149	304	466
CHMP2A	294	195	557	833
CHMP2B	295	193	554	712
CHMP4B	285	203	588	844
CHMP4C	55	42	104	119
CHMP5	631	431	1119	1443
CHMP6	36	35	95	117
CHMP7	159	111	326	414
CHN1	45	37	146	190
CHN2	18	12	20	23
CHORDC1	432	332	871	1268
CHP1	134	82	257	438
CHPF	183	102	267	460
CHPF2	104	69	125	257
CHPT1	179	149	458	640
CHRAC1	73	71	172	237
CHRFAM7A	24	23	62	74
CHRNA5	159	79	240	304
CHRNA7	31	33	79	87
CHST10	59	38	101	153
CHST11	115	76	234	340
CHST12	70	44	107	183
CHST14	130	89	241	402
CHST15	22	19	66	82
CHST2	2	4	0	1
CHST3	38	21	66	74
CHST7	23	17	68	89
CHSY1	41	28	84	106
CHSY3	46	28	66	109
CHTF18	129	87	204	300
CHTF8	75	48	97	138
CHTOP	566	451	833	1355
CHUK	215	168	468	676
CHURC1-FNTB	273	199	445	737
CIAO1	316	231	790	1043
CIAPIN1	418	278	762	1082
CIB1	193	147	315	480
CIB2	4	4	10	13
CIC	129	71	156	279
CILP2	50	35	94	193
CINP	239	167	336	445
CIR1	161	136	237	360
CIRBP	186	143	235	501
CIRH1A	653	490	1207	1632
CISD1	285	191	466	678
CISD2	282	210	607	772
CISD3	47	39	120	163
CIT	374	285	750	1020
CITED1	29	7	46	67
CITED2	162	121	292	474
CIZ1	330	257	637	1021
CKAP2	1874	1485	3072	4218
CKAP2L	190	165	346	474
CKAP4	567	320	1096	1736
CKAP5	2507	1926	5057	6655
CKB	7418	5199	15594	23210
CKMT1A	583	396	1077	1554
CKMT1B	571	392	1073	1554
CKS1B	360	264	562	777
CKS2	547	493	1097	1474
CLASP1	324	217	492	627
CLASP2	347	248	635	884
CLASRP	109	67	206	311
CLCC1	268	184	515	767
CLCN2	20	7	34	39
CLCN3	166	137	315	463
CLCN5	47	25	77	141
CLCN6	41	17	42	61
CLCN7	137	79	244	406
CLDN12	88	60	156	208
CLDN15	0	0	4	1
CLDND1	158	114	303	326
CLEC16A	41	35	82	167
CLGN	123	83	272	346
CLHC1	5	4	8	15
CLIC1	870	631	1753	2484
CLIC4	793	563	1589	2000
CLINT1	1014	778	1730	2517
CLIP1	280	206	501	692
CLIP2	9	6	22	22
CLIP4	43	42	91	112
CLK1	186	118	233	321
CLK2	102	85	187	252
CLK3	230	163	395	577
CLK4	77	46	122	159
CLMN	43	32	123	128
CLN3	69	55	141	243
CLN5	74	53	133	207
CLN6	179	119	406	620
CLN8	25	28	55	81
CLNS1A	763	513	1762	2237
CLOCK	45	29	81	113
CLP1	140	91	180	295
CLPB	391	248	643	829
CLPP	442	321	857	1264
CLPTM1	433	265	963	1496
CLPTM1L	376	233	705	1148
CLPX	429	280	840	941
CLSPN	941	686	1465	2127
CLSTN1	769	450	1366	2129
CLSTN3	126	80	262	332
CLTA	675	447	1329	1932
CLTB	188	143	427	721
CLTC	8072	6081	14815	20957
CLTCL1	110	64	173	252
CLU	609	378	1428	1785
CLUAP1	89	75	174	230
CLUH	1063	769	1872	2886
CLYBL	12	11	20	40
CMAS	473	332	828	1065
CMBL	355	290	944	1230
CMC1	74	65	166	244
CMC2	29	29	84	144
CMC4	17	20	53	65
CMIP	137	77	298	335
CMPK1	500	364	914	1303
CMSS1	205	167	444	504
CMTM3	32	24	86	125
CMTM4	26	15	77	95
CMTM6	218	144	423	569
CMTM7	72	47	89	173
CMTM8	54	46	101	194
CMYA5	0	0	1	3
CNBP	1560	1164	2967	4303
CNDP2	332	248	619	1003
CNEP1R1	27	14	38	53
CNIH	348	280	635	1026
CNIH4	461	374	875	1064
CNN2	281	178	678	1009
CNN3	1140	871	2660	3324
CNNM1	115	73	162	275
CNNM2	58	38	97	151
CNNM3	114	70	211	289
CNNM4	58	48	132	207
CNOT1	1544	1139	3116	4141
CNOT10	390	256	770	1037
CNOT11	305	214	699	862
CNOT2	456	325	620	860
CNOT3	364	279	727	1061
CNOT4	132	97	235	348
CNOT6	192	137	332	408
CNOT6L	106	81	201	247
CNOT7	140	109	332	354
CNOT8	214	165	383	582
CNP	428	306	792	1263
CNPPD1	154	117	217	439
CNPY2	460	265	781	1132
CNPY3	80	64	216	275
CNPY4	26	24	38	63
CNRIP1	17	11	34	52
CNST	30	18	69	92
CNTF	4	0	4	2
CNTLN	92	73	205	289
CNTN1	60	43	200	190
CNTNAP1	12	6	40	45
CNTNAP3	26	23	48	78
CNTNAP3B	30	25	45	81
